invoice_id,customer_id,invoice_date,invoice_amount,due_date,invoice_status
INV100053,C03558,2024-02-05,7031,2024-03-06,Paid
INV100054,C07565,2024-01-14,1457,2024-02-13,Overdue
INV100055,C01828,2024-01-15,21818,2024-03-15,Paid
INV100056,C07950,2024-09-01,9608,2024-10-01,Open
INV100057,C07185,2024-10-17,21664,2024-11-16,Open
INV100058,C07873,2024-04-29,4447,2024-06-13,Overdue
INV100059,C02174,2024-01-22,14914,2024-03-07,Paid
INV100060,C03710,2024-06-23,9173,2024-08-22,Paid
INV100061,C00130,2024-10-18,7305,2024-11-17,Overdue
INV100062,C05888,2024-09-27,15028,2024-10-27,Paid
INV100063,C01559,2024-04-30,17145,2024-06-14,Paid
INV100064,C03201,2024-04-05,7238,2024-05-05,Open
INV100065,C03725,2024-07-04,4467,2024-08-03,Open
INV100066,C03534,2024-06-17,21902,2024-07-17,Paid
INV100067,C05066,2024-12-21,18813,2025-02-04,Overdue
INV100068,C09996,2024-12-10,12225,2025-01-24,Overdue
INV100069,C04694,2024-08-24,16412,2024-09-23,Paid
INV100070,C08807,2024-11-25,11923,2024-12-25,Paid
INV100071,C05263,2024-08-19,2998,2024-09-18,Paid
INV100072,C01865,2024-01-26,6182,2024-02-25,Overdue
INV100073,C00688,2024-09-10,1633,2024-11-09,Open
INV100074,C07301,2024-01-30,579,2024-03-15,Paid
INV100075,C06408,2024-12-24,22426,2025-02-22,Open
INV100076,C04243,2024-10-13,8184,2024-12-12,Overdue
INV100077,C05960,2024-04-18,5421,2024-06-17,Open
INV100078,C06024,2024-12-03,6532,2025-02-01,Paid
INV100079,C06199,2024-09-14,21386,2024-10-14,Paid
INV100080,C01618,2024-11-29,11213,2024-12-29,Paid
INV100081,C06081,2024-08-18,14435,2024-09-17,Paid
INV100082,C01900,2024-05-27,24156,2024-06-26,Paid
INV100083,C02035,2024-02-03,2609,2024-03-19,Paid
INV100084,C06323,2024-02-29,23034,2024-04-14,Paid
INV100085,C07530,2024-10-16,6768,2024-11-15,Open
INV100086,C07376,2024-06-13,6151,2024-07-13,Paid
INV100087,C03974,2024-07-13,14774,2024-08-12,Paid
INV100088,C00726,2024-05-06,5987,2024-06-05,Overdue
INV100089,C03504,2024-08-12,14245,2024-09-11,Open
INV100090,C08032,2024-10-01,12602,2024-11-15,Paid
INV100091,C09370,2024-08-10,11346,2024-09-24,Overdue
INV100092,C02341,2024-02-21,22764,2024-03-22,Paid
INV100093,C06540,2024-02-13,23845,2024-03-29,Paid
INV100094,C03042,2024-03-26,17142,2024-05-10,Paid
INV100095,C07101,2024-06-03,20841,2024-08-02,Open
INV100096,C01560,2024-02-07,22622,2024-03-08,Overdue
INV100097,C00401,2024-04-01,21226,2024-05-01,Paid
INV100098,C04211,2024-05-28,5153,2024-07-12,Paid
INV100099,C03332,2024-01-13,6468,2024-02-27,Paid
INV100100,C04972,2024-12-14,23910,2025-01-28,Open
INV100101,C01250,2024-10-24,20391,2024-12-08,Overdue
INV100102,C08806,2024-08-12,15896,2024-09-11,Paid
INV100103,C04227,2024-12-17,24688,2025-01-31,Paid
INV100104,C06408,2024-10-30,17967,2024-12-14,Paid
INV100105,C05644,2024-02-15,8630,2024-03-16,Paid
INV100106,C01955,2024-08-07,9123,2024-09-21,Paid
INV100107,C06978,2024-04-23,11153,2024-06-22,Open
INV100108,C08541,2024-03-18,10324,2024-04-17,Paid
INV100109,C08353,2024-11-08,1310,2024-12-23,Open
INV100110,C08306,2024-11-03,6781,2024-12-18,Paid
INV100111,C06162,2024-10-04,12090,2024-11-03,Paid
INV100112,C07272,2024-01-17,11715,2024-03-02,Paid
INV100113,C05462,2024-04-06,8531,2024-06-05,Paid
INV100114,C09678,2024-04-11,17909,2024-06-10,Paid
INV100115,C01629,2024-10-08,13622,2024-11-07,Paid
INV100116,C07981,2024-06-15,3797,2024-08-14,Overdue
INV100117,C04239,2024-03-11,7906,2024-04-10,Paid
INV100118,C06597,2024-08-04,8865,2024-10-03,Paid
INV100119,C02499,2024-08-27,22376,2024-09-26,Paid
INV100120,C01996,2024-06-27,13815,2024-08-11,Paid
INV100121,C00596,2024-06-06,21578,2024-07-21,Paid
INV100122,C00940,2024-02-10,16251,2024-03-11,Paid
INV100123,C01300,2024-02-19,15972,2024-04-19,Paid
INV100124,C05415,2024-10-10,7769,2024-11-09,Overdue
INV100125,C09345,2024-03-14,3064,2024-04-28,Paid
INV100126,C03017,2024-07-05,9293,2024-08-04,Paid
INV100127,C09590,2024-08-31,15972,2024-10-15,Paid
INV100128,C02870,2024-03-06,1603,2024-04-05,Open
INV100129,C09353,2024-08-22,18540,2024-09-21,Paid
INV100130,C06382,2024-04-23,11181,2024-06-22,Open
INV100131,C08988,2024-07-24,17290,2024-09-07,Paid
INV100132,C04131,2024-09-25,9604,2024-10-25,Paid
INV100133,C07464,2024-09-13,3855,2024-10-13,Open
INV100134,C02918,2024-03-29,3367,2024-05-28,Open
INV100135,C04354,2024-01-10,9261,2024-02-09,Open
INV100136,C04366,2024-07-09,7137,2024-08-08,Paid
INV100137,C03119,2024-08-21,9282,2024-09-20,Paid
INV100138,C06750,2024-02-23,3316,2024-04-23,Paid
INV100139,C09146,2024-05-30,11092,2024-07-29,Paid
INV100140,C09918,2024-11-22,15932,2025-01-21,Open
INV100141,C09703,2024-11-01,3204,2024-12-01,Paid
INV100142,C09779,2024-02-28,5058,2024-03-29,Paid
INV100143,C01742,2024-09-18,23329,2024-10-18,Paid
INV100144,C02459,2024-12-30,20473,2025-02-28,Paid
INV100145,C06356,2024-02-01,2954,2024-03-02,Open
INV100146,C09585,2024-11-04,2129,2024-12-04,Paid
INV100147,C07064,2024-12-29,19051,2025-01-28,Overdue
INV100148,C03338,2024-03-09,24560,2024-04-08,Paid
INV100149,C06279,2024-03-23,19632,2024-05-07,Paid
INV100150,C06004,2024-09-14,10633,2024-11-13,Paid
INV100151,C00790,2024-10-25,1716,2024-11-24,Paid
INV100152,C06459,2024-02-09,3596,2024-03-10,Open
INV100153,C08492,2024-01-04,1421,2024-03-04,Overdue
INV100154,C01322,2024-03-15,17400,2024-04-14,Paid
INV100155,C06423,2024-06-22,20835,2024-07-22,Paid
INV100156,C04470,2024-04-14,19713,2024-05-14,Overdue
INV100157,C07656,2024-05-27,19388,2024-07-11,Open
INV100158,C02110,2024-05-01,18369,2024-06-15,Paid
INV100159,C07023,2024-01-14,7282,2024-03-14,Paid
INV100160,C02386,2024-12-20,17873,2025-02-18,Open
INV100161,C03447,2024-12-30,11577,2025-01-29,Open
INV100162,C05086,2024-06-25,5876,2024-07-25,Open
INV100163,C07437,2024-01-21,8837,2024-02-20,Overdue
INV100164,C00619,2024-11-12,20542,2024-12-12,Paid
INV100165,C04891,2024-09-14,3582,2024-10-29,Paid
INV100166,C09075,2024-05-28,3151,2024-06-27,Paid
INV100167,C01704,2024-09-22,7423,2024-11-21,Paid
INV100168,C07754,2024-12-12,19093,2025-02-10,Paid
INV100169,C02420,2024-04-27,7657,2024-06-11,Paid
INV100170,C08700,2024-11-27,14525,2025-01-26,Paid
INV100171,C06372,2024-03-20,3309,2024-05-19,Overdue
INV100172,C01418,2024-09-20,19688,2024-11-19,Paid
INV100173,C06159,2024-07-03,12641,2024-08-17,Open
INV100174,C07149,2024-04-10,18161,2024-05-25,Open
INV100175,C02861,2024-03-29,9306,2024-04-28,Paid
INV100176,C02386,2024-02-16,22221,2024-04-16,Paid
INV100177,C09479,2024-03-22,9693,2024-05-21,Paid
INV100178,C00926,2024-05-03,10881,2024-07-02,Overdue
INV100179,C06222,2024-09-20,21372,2024-10-20,Open
INV100180,C00229,2024-05-26,19014,2024-07-10,Paid
INV100181,C01769,2024-08-28,3925,2024-09-27,Paid
INV100182,C06592,2024-10-12,15714,2024-11-11,Paid
INV100183,C04543,2024-03-31,12185,2024-05-30,Paid
INV100184,C06576,2024-08-15,19059,2024-09-14,Paid
INV100185,C07337,2024-06-02,16784,2024-08-01,Overdue
INV100186,C04894,2024-12-26,11536,2025-02-09,Open
INV100187,C09426,2024-09-07,10467,2024-10-07,Paid
INV100188,C07427,2024-11-29,8011,2025-01-28,Open
INV100189,C02597,2024-07-19,4701,2024-08-18,Overdue
INV100190,C09502,2024-08-02,9837,2024-10-01,Overdue
INV100191,C07222,2024-06-21,24127,2024-07-21,Paid
INV100192,C08661,2024-03-04,9461,2024-05-03,Paid
INV100193,C09046,2024-01-30,23592,2024-03-30,Paid
INV100194,C06116,2024-06-26,21235,2024-08-25,Open
INV100195,C01124,2024-06-18,9573,2024-08-17,Paid
INV100196,C01621,2024-06-04,2906,2024-07-19,Overdue
INV100197,C03975,2024-02-27,3858,2024-04-12,Open
INV100198,C07944,2024-01-31,18968,2024-03-16,Paid
INV100199,C03030,2024-12-11,5291,2025-01-25,Paid
INV100200,C01471,2024-04-09,7323,2024-06-08,Paid
INV100201,C08285,2024-05-07,10367,2024-06-21,Paid
INV100202,C01277,2024-11-10,15596,2024-12-25,Overdue
INV100203,C09849,2024-08-15,21546,2024-09-14,Open
INV100204,C03111,2024-04-25,17250,2024-06-24,Open
INV100205,C04642,2024-01-12,11424,2024-02-11,Paid
INV100206,C03430,2024-10-27,4620,2024-12-11,Overdue
INV100207,C07177,2024-11-17,22149,2025-01-01,Paid
INV100208,C08380,2024-12-25,1169,2025-02-08,Overdue
INV100209,C06789,2024-07-14,3333,2024-08-28,Paid
INV100210,C06283,2024-12-19,2170,2025-02-17,Paid
INV100211,C09296,2024-07-01,22289,2024-08-30,Open
INV100212,C05376,2024-11-20,6008,2025-01-04,Paid
INV100213,C02227,2024-01-05,21176,2024-03-05,Overdue
INV100214,C01281,2024-11-14,19348,2024-12-29,Overdue
INV100215,C04314,2024-09-16,3875,2024-10-31,Paid
INV100216,C04094,2024-10-23,13659,2024-11-22,Paid
INV100217,C01341,2024-05-19,4983,2024-07-03,Paid
INV100218,C08783,2024-12-19,8320,2025-01-18,Open
INV100219,C08871,2024-02-24,13798,2024-03-25,Paid
INV100220,C08808,2024-10-27,1293,2024-12-26,Open
INV100221,C07984,2024-06-04,16804,2024-07-04,Paid
INV100222,C09042,2024-11-10,14343,2025-01-09,Overdue
INV100223,C02008,2024-07-06,3795,2024-09-04,Open
INV100224,C04171,2024-09-12,7269,2024-10-27,Paid
INV100225,C08528,2024-06-29,20440,2024-07-29,Overdue
INV100226,C08996,2024-06-16,19181,2024-08-15,Paid
INV100227,C08555,2024-04-30,22964,2024-06-29,Open
INV100228,C06334,2024-11-03,1484,2024-12-03,Open
INV100229,C07640,2024-01-11,3240,2024-02-25,Paid
INV100230,C02022,2024-12-17,18996,2025-01-16,Overdue
INV100231,C06214,2024-06-26,4214,2024-07-26,Open
INV100232,C02570,2024-11-01,24922,2024-12-01,Overdue
INV100233,C07382,2024-12-17,10120,2025-01-31,Overdue
INV100234,C02076,2024-05-02,15134,2024-06-16,Open
INV100235,C09097,2024-02-17,14311,2024-04-02,Paid
INV100236,C06055,2024-06-30,22856,2024-07-30,Paid
INV100237,C07998,2024-11-01,22370,2024-12-16,Paid
INV100238,C04459,2024-08-28,17846,2024-09-27,Paid
INV100239,C02086,2024-09-12,10203,2024-10-12,Paid
INV100240,C02712,2024-12-03,9424,2025-01-17,Paid
INV100241,C06848,2024-07-31,16790,2024-09-14,Overdue
INV100242,C03705,2024-10-23,5682,2024-11-22,Overdue
INV100243,C05803,2024-08-07,8262,2024-10-06,Paid
INV100244,C05230,2024-01-28,13928,2024-03-13,Overdue
INV100245,C00144,2024-08-03,12226,2024-09-17,Paid
INV100246,C03269,2024-09-02,8461,2024-10-02,Paid
INV100247,C09262,2024-07-17,6490,2024-09-15,Overdue
INV100248,C02186,2024-07-09,10166,2024-09-07,Open
INV100249,C02538,2024-05-08,17388,2024-06-07,Open
INV100250,C06746,2024-06-09,22576,2024-07-09,Overdue
INV100251,C05698,2024-02-02,18575,2024-04-02,Paid
INV100252,C00302,2024-01-11,4828,2024-03-11,Open
INV100253,C02166,2024-08-02,12427,2024-09-01,Paid
INV100254,C01761,2024-08-29,4042,2024-10-13,Overdue
INV100255,C05287,2024-10-10,6872,2024-12-09,Paid
INV100256,C02655,2024-09-02,15424,2024-11-01,Open
INV100257,C04868,2024-07-08,4486,2024-09-06,Overdue
INV100258,C09641,2024-10-29,12137,2024-12-28,Paid
INV100259,C05093,2024-11-25,8688,2024-12-25,Paid
INV100260,C06581,2024-03-12,12597,2024-04-26,Paid
INV100261,C00632,2024-09-01,13944,2024-10-31,Open
INV100262,C08554,2024-03-23,24638,2024-05-07,Overdue
INV100263,C02075,2024-04-23,19253,2024-05-23,Paid
INV100264,C04401,2024-09-20,8537,2024-10-20,Overdue
INV100265,C02771,2024-03-09,23721,2024-04-08,Open
INV100266,C08961,2024-11-29,19923,2025-01-13,Paid
INV100267,C09178,2024-10-27,12555,2024-12-26,Paid
INV100268,C08397,2024-06-09,21567,2024-07-09,Paid
INV100269,C09059,2024-04-16,3289,2024-06-15,Paid
INV100270,C05111,2024-10-20,2883,2024-12-04,Open
INV100271,C00662,2024-05-19,20619,2024-06-18,Paid
INV100272,C00679,2024-11-18,9564,2024-12-18,Open
INV100273,C06364,2024-12-25,19399,2025-02-23,Overdue
INV100274,C00300,2024-05-29,19350,2024-06-28,Paid
INV100275,C00258,2024-11-21,3869,2025-01-05,Paid
INV100276,C02763,2024-04-08,15113,2024-05-23,Paid
INV100277,C00240,2024-06-15,550,2024-07-15,Open
INV100278,C07995,2024-05-23,10392,2024-06-22,Overdue
INV100279,C03301,2024-06-07,9675,2024-08-06,Open
INV100280,C07324,2024-10-26,15691,2024-12-10,Paid
INV100281,C02266,2024-10-28,11340,2024-12-27,Paid
INV100282,C04291,2024-02-13,21615,2024-03-29,Paid
INV100283,C05648,2024-12-05,17042,2025-01-19,Open
INV100284,C07932,2024-03-27,7809,2024-05-11,Open
INV100285,C06707,2024-03-24,616,2024-05-08,Overdue
INV100286,C06684,2024-04-05,10183,2024-05-20,Paid
INV100287,C06772,2024-10-28,10778,2024-11-27,Open
INV100288,C08601,2024-08-27,11087,2024-10-11,Paid
INV100289,C07609,2024-08-04,17868,2024-09-03,Paid
INV100290,C00521,2024-08-26,20121,2024-09-25,Paid
INV100291,C05643,2024-03-12,8218,2024-05-11,Paid
INV100292,C03885,2024-06-29,2027,2024-07-29,Paid
INV100293,C01877,2024-06-21,5942,2024-08-20,Overdue
INV100294,C02742,2024-07-10,2332,2024-08-24,Open
INV100295,C03533,2024-04-03,24996,2024-05-03,Paid
INV100296,C00651,2024-05-31,13966,2024-06-30,Paid
INV100297,C02159,2024-06-07,18029,2024-08-06,Paid
INV100298,C02652,2024-11-22,11786,2025-01-21,Paid
INV100299,C09221,2024-10-22,1753,2024-12-21,Paid
INV100300,C09748,2024-11-25,2688,2024-12-25,Paid
INV100301,C07463,2024-01-15,14093,2024-02-29,Paid
INV100302,C07626,2024-04-28,1686,2024-06-27,Open
INV100303,C08130,2024-01-21,10140,2024-03-21,Overdue
INV100304,C07039,2024-01-21,19495,2024-03-06,Paid
INV100305,C08705,2024-11-11,8155,2024-12-26,Overdue
INV100306,C01236,2024-08-08,14376,2024-09-22,Paid
INV100307,C00119,2024-04-15,14306,2024-05-30,Open
INV100308,C00260,2024-08-20,19835,2024-10-04,Paid
INV100309,C05519,2024-03-05,16546,2024-05-04,Paid
INV100310,C01199,2024-05-28,14915,2024-07-27,Paid
INV100311,C07582,2024-07-01,15952,2024-08-15,Paid
INV100312,C06278,2024-03-09,18995,2024-04-08,Overdue
INV100313,C02433,2024-07-25,24597,2024-08-24,Paid
INV100314,C07230,2024-04-19,6038,2024-06-03,Paid
INV100315,C00960,2024-10-08,23843,2024-12-07,Paid
INV100316,C02949,2024-11-26,12391,2025-01-25,Open
INV100317,C00566,2024-02-24,2740,2024-04-09,Open
INV100318,C05937,2024-04-22,7096,2024-05-22,Overdue
INV100319,C06659,2024-07-31,1974,2024-08-30,Open
INV100320,C02380,2024-02-15,12122,2024-03-31,Paid
INV100321,C08637,2024-03-10,1523,2024-05-09,Paid
INV100322,C06479,2024-06-30,5605,2024-08-14,Paid
INV100323,C03540,2024-06-21,17281,2024-08-20,Overdue
INV100324,C02709,2024-11-05,6817,2024-12-05,Open
INV100325,C02336,2024-07-27,13838,2024-09-10,Open
INV100326,C09228,2024-08-10,4513,2024-09-09,Paid
INV100327,C03045,2024-12-08,20212,2025-01-22,Paid
INV100328,C07791,2024-04-05,18757,2024-05-20,Open
INV100329,C01287,2024-04-29,21517,2024-06-28,Open
INV100330,C09651,2024-02-05,15240,2024-03-21,Open
INV100331,C01631,2024-02-03,22633,2024-03-04,Open
INV100332,C04028,2024-12-07,24843,2025-01-06,Paid
INV100333,C03117,2024-10-15,21280,2024-11-29,Open
INV100334,C05666,2024-02-24,19682,2024-03-25,Paid
INV100335,C00264,2024-01-23,7367,2024-03-23,Open
INV100336,C06445,2024-09-09,12176,2024-10-24,Paid
INV100337,C05576,2024-02-13,10358,2024-04-13,Open
INV100338,C07394,2024-04-09,1446,2024-05-09,Paid
INV100339,C04200,2024-01-28,1122,2024-03-13,Overdue
INV100340,C05083,2024-03-04,10867,2024-05-03,Paid
INV100341,C08413,2024-10-30,19045,2024-12-14,Open
INV100342,C00334,2024-11-10,2260,2024-12-25,Paid
INV100343,C09517,2024-11-10,23173,2024-12-10,Paid
INV100344,C09153,2024-10-25,19864,2024-12-24,Open
INV100345,C09673,2024-06-19,13675,2024-07-19,Overdue
INV100346,C00436,2024-05-20,1714,2024-07-04,Open
INV100347,C02442,2024-03-12,17503,2024-04-11,Paid
INV100348,C06878,2024-02-12,4102,2024-03-28,Paid
INV100349,C00043,2024-08-27,24202,2024-10-11,Paid
INV100350,C00966,2024-09-25,6314,2024-11-09,Open
INV100351,C00216,2024-08-06,5387,2024-10-05,Paid
INV100352,C04321,2024-05-18,4749,2024-07-17,Overdue
INV100353,C02706,2024-07-18,6611,2024-09-01,Paid
INV100354,C08965,2024-12-27,11243,2025-02-10,Open
INV100355,C01823,2024-06-02,3113,2024-07-02,Paid
INV100356,C04112,2024-12-15,10326,2025-01-14,Open
INV100357,C06437,2024-08-01,24652,2024-08-31,Open
INV100358,C08123,2024-02-19,5268,2024-04-04,Paid
INV100359,C08250,2024-02-18,20939,2024-03-19,Open
INV100360,C04947,2024-12-24,16493,2025-01-23,Open
INV100361,C04744,2024-12-11,8548,2025-02-09,Open
INV100362,C01844,2024-08-31,11132,2024-10-30,Paid
INV100363,C05451,2024-12-12,16984,2025-02-10,Open
INV100364,C00461,2024-12-07,14643,2025-02-05,Paid
INV100365,C09161,2024-09-25,6360,2024-11-09,Paid
INV100366,C03816,2024-09-19,7876,2024-11-03,Paid
INV100367,C07293,2024-08-31,20513,2024-09-30,Paid
INV100368,C07630,2024-06-19,17649,2024-08-18,Paid
INV100369,C00290,2024-02-11,23933,2024-03-27,Paid
INV100370,C09313,2024-01-13,3904,2024-03-13,Paid
INV100371,C06393,2024-09-24,4066,2024-10-24,Paid
INV100372,C08925,2024-07-22,5165,2024-09-05,Open
INV100373,C06669,2024-10-20,7225,2024-12-19,Paid
INV100374,C03577,2024-09-15,13528,2024-10-15,Overdue
INV100375,C07986,2024-07-18,22323,2024-09-16,Paid
INV100376,C06849,2024-11-13,20163,2024-12-13,Open
INV100377,C03783,2024-06-07,18290,2024-08-06,Paid
INV100378,C06916,2024-07-18,24623,2024-09-16,Open
INV100379,C04938,2024-10-19,4426,2024-11-18,Paid
INV100380,C04059,2024-10-06,17662,2024-12-05,Paid
INV100381,C02157,2024-04-01,18256,2024-05-01,Overdue
INV100382,C02878,2024-03-08,11405,2024-04-07,Overdue
INV100383,C08135,2024-03-04,9688,2024-05-03,Paid
INV100384,C09260,2024-05-23,7358,2024-06-22,Open
INV100385,C04438,2024-09-30,6361,2024-11-14,Open
INV100386,C03921,2024-03-08,14987,2024-04-07,Paid
INV100387,C01128,2024-08-22,13636,2024-09-21,Overdue
INV100388,C06602,2024-11-09,4028,2025-01-08,Paid
INV100389,C04068,2024-05-02,7099,2024-06-16,Overdue
INV100390,C09183,2024-10-27,2641,2024-11-26,Open
INV100391,C03487,2024-02-22,3962,2024-04-22,Paid
INV100392,C04728,2024-01-27,13427,2024-03-27,Open
INV100393,C09618,2024-02-05,1752,2024-03-06,Open
INV100394,C05510,2024-04-09,2020,2024-05-24,Open
INV100395,C05482,2024-05-20,17468,2024-07-04,Overdue
INV100396,C09650,2024-06-24,10822,2024-08-23,Paid
INV100397,C03455,2024-07-06,12511,2024-08-05,Paid
INV100398,C01052,2024-07-24,6835,2024-08-23,Overdue
INV100399,C07275,2024-04-15,15291,2024-05-30,Open
INV100400,C02588,2024-04-10,17763,2024-05-25,Paid
INV100401,C03258,2024-04-20,14881,2024-06-04,Open
INV100402,C02243,2024-06-27,17345,2024-07-27,Overdue
INV100403,C04868,2024-01-14,4134,2024-02-13,Open
INV100404,C09064,2024-09-07,7610,2024-11-06,Open
INV100405,C06833,2024-06-19,7441,2024-08-03,Paid
INV100406,C00128,2024-09-15,11395,2024-11-14,Overdue
INV100407,C06016,2024-06-01,13022,2024-07-31,Open
INV100408,C08298,2024-02-03,14698,2024-03-19,Paid
INV100409,C01407,2024-07-16,18220,2024-08-15,Overdue
INV100410,C03421,2024-08-19,1460,2024-09-18,Paid
INV100411,C05601,2024-07-11,10077,2024-08-10,Paid
INV100412,C08183,2024-07-06,7472,2024-08-05,Paid
INV100413,C09193,2024-08-25,14596,2024-10-09,Overdue
INV100414,C07489,2024-10-30,5554,2024-12-14,Paid
INV100415,C05098,2024-11-23,23272,2025-01-07,Paid
INV100416,C04113,2024-07-27,19179,2024-08-26,Paid
INV100417,C01394,2024-07-23,13050,2024-09-06,Open
INV100418,C01872,2024-04-14,7830,2024-06-13,Paid
INV100419,C01090,2024-10-17,24684,2024-12-16,Paid
INV100420,C05536,2024-08-29,20152,2024-09-28,Open
INV100421,C04167,2024-04-06,12622,2024-05-21,Paid
INV100422,C04540,2024-12-30,16401,2025-02-28,Open
INV100423,C03017,2024-12-30,19615,2025-01-29,Overdue
INV100424,C03316,2024-10-15,21597,2024-11-14,Overdue
INV100425,C03893,2024-04-24,9174,2024-06-23,Paid
INV100426,C01394,2024-11-05,2755,2024-12-05,Paid
INV100427,C00721,2024-02-08,24953,2024-04-08,Paid
INV100428,C04327,2024-04-19,24003,2024-06-03,Overdue
INV100429,C03598,2024-07-10,24619,2024-08-09,Paid
INV100430,C04960,2024-06-14,4731,2024-08-13,Paid
INV100431,C07759,2024-10-20,14192,2024-12-04,Open
INV100432,C07637,2024-03-13,21202,2024-05-12,Overdue
INV100433,C03881,2024-04-21,11783,2024-05-21,Paid
INV100434,C04865,2024-12-22,10172,2025-02-20,Paid
INV100435,C06674,2024-10-29,4881,2024-12-13,Overdue
INV100436,C08482,2024-03-05,15281,2024-05-04,Paid
INV100437,C06244,2024-12-21,20288,2025-02-19,Paid
INV100438,C06293,2024-10-24,7693,2024-11-23,Overdue
INV100439,C08587,2024-04-11,8245,2024-05-11,Paid
INV100440,C00376,2024-02-24,22448,2024-04-09,Open
INV100441,C06246,2024-11-10,15392,2024-12-10,Overdue
INV100442,C05747,2024-07-12,21793,2024-08-26,Open
INV100443,C04878,2024-03-14,13579,2024-04-28,Paid
INV100444,C02140,2024-11-02,21312,2024-12-17,Open
INV100445,C01975,2024-10-18,19046,2024-12-17,Paid
INV100446,C04502,2024-07-02,3587,2024-08-01,Paid
INV100447,C06165,2024-02-11,14149,2024-04-11,Open
INV100448,C06163,2024-12-23,21123,2025-02-21,Paid
INV100449,C08605,2024-04-08,7284,2024-06-07,Paid
INV100450,C06346,2024-05-07,19517,2024-07-06,Paid
INV100451,C06131,2024-01-13,16396,2024-03-13,Paid
INV100452,C06156,2024-04-08,22017,2024-05-08,Paid
INV100453,C06279,2024-11-03,23236,2024-12-03,Paid
INV100454,C01379,2024-05-19,7621,2024-07-03,Overdue
INV100455,C01094,2024-07-22,15482,2024-08-21,Open
INV100456,C07136,2024-05-19,11784,2024-07-18,Paid
INV100457,C00711,2024-11-13,12624,2025-01-12,Paid
INV100458,C07462,2024-08-07,22094,2024-09-21,Overdue
INV100459,C03487,2024-12-14,4132,2025-01-13,Overdue
INV100460,C04893,2024-08-20,16383,2024-09-19,Paid
INV100461,C03500,2024-10-26,9737,2024-12-10,Open
INV100462,C03228,2024-05-11,8539,2024-07-10,Paid
INV100463,C09804,2024-06-07,18581,2024-08-06,Paid
INV100464,C00731,2024-05-02,909,2024-07-01,Paid
