po_id,customer_id,po_date,po_amount,approval_status
PO200043,C05825,2024-09-05,4507,Pending
PO200044,C01666,2024-05-28,5104,Delayed
PO200045,C07385,2024-11-03,6013,Pending
PO200046,C07429,2024-02-03,13802,Approved
PO200047,C00576,2024-04-17,20372,Approved
PO200048,C04698,2024-08-15,11816,Approved
PO200049,C08221,2024-05-11,8976,Approved
PO200050,C03714,2024-12-26,15189,Approved
PO200051,C09664,2024-10-12,12490,Pending
PO200052,C00532,2024-06-15,17195,Approved
PO200053,C07749,2024-08-24,19548,Approved
PO200054,C05138,2024-12-09,2907,Delayed
PO200055,C06604,2024-12-18,11512,Approved
PO200056,C01914,2024-02-28,21479,Approved
PO200057,C03783,2024-09-24,24218,Approved
PO200058,C09535,2024-05-31,20269,Approved
PO200059,C02945,2024-05-28,653,Approved
PO200060,C05519,2024-02-05,24061,Approved
PO200061,C06772,2024-07-03,14089,Approved
PO200062,C04493,2024-08-22,8525,Delayed
PO200063,C08000,2024-04-10,2253,Approved
PO200064,C01537,2024-07-01,17921,Delayed
PO200065,C03160,2024-04-19,7521,Approved
PO200066,C09225,2024-04-20,9566,Approved
PO200067,C04908,2024-09-05,23146,Approved
PO200068,C06765,2024-03-25,15485,Delayed
PO200069,C06337,2024-05-12,11021,Approved
PO200070,C06098,2024-07-13,16499,Approved
PO200071,C06437,2024-06-29,7520,Approved
PO200072,C03599,2024-09-17,11997,Pending
PO200073,C07492,2024-05-23,20282,Approved
PO200074,C01034,2024-01-20,19681,Approved
PO200075,C08746,2024-05-02,12566,Pending
PO200076,C05942,2024-05-29,13817,Approved
PO200077,C09763,2024-07-03,7247,Delayed
PO200078,C09354,2024-01-19,14453,Pending
PO200079,C06272,2024-01-03,12008,Approved
PO200080,C04572,2024-02-11,8509,Approved
PO200081,C03576,2024-10-10,2589,Delayed
PO200082,C07441,2024-04-11,8504,Approved
PO200083,C08585,2024-10-22,10104,Approved
PO200084,C02737,2024-07-19,8842,Pending
PO200085,C07530,2024-07-04,23527,Approved
PO200086,C02103,2024-08-19,18367,Approved
PO200087,C08586,2024-08-16,1181,Approved
PO200088,C08209,2024-09-23,22642,Approved
PO200089,C05402,2024-06-06,1940,Pending
PO200090,C05581,2024-10-11,2269,Delayed
PO200091,C09805,2024-04-28,10658,Approved
PO200092,C02578,2024-12-25,23203,Approved
PO200093,C02349,2024-02-06,24597,Pending
PO200094,C08158,2024-08-14,6936,Approved
PO200095,C08784,2024-05-30,15988,Approved
PO200096,C07449,2024-10-23,12545,Pending
PO200097,C02019,2024-02-22,15784,Approved
PO200098,C03839,2024-10-05,18020,Approved
PO200099,C04494,2024-03-18,6176,Approved
PO200100,C01598,2024-11-16,8233,Approved
PO200101,C07889,2024-10-01,20920,Approved
PO200102,C04512,2024-11-28,15748,Approved
PO200103,C05748,2024-08-07,6282,Approved
PO200104,C07624,2024-09-22,8262,Approved
PO200105,C02404,2024-03-31,9140,Pending
PO200106,C06541,2024-06-12,12932,Approved
PO200107,C01535,2024-04-14,20468,Pending
PO200108,C09726,2024-02-13,12275,Approved
PO200109,C01347,2024-12-05,12807,Pending
PO200110,C07866,2024-08-15,6295,Approved
PO200111,C06633,2024-05-30,15559,Approved
PO200112,C02793,2024-08-05,5561,Approved
PO200113,C06925,2024-06-26,16253,Approved
PO200114,C08657,2024-12-05,4942,Approved
PO200115,C09291,2024-12-12,9824,Approved
PO200116,C07610,2024-11-28,4512,Approved
PO200117,C02034,2024-12-07,1400,Approved
PO200118,C00543,2024-02-16,22706,Approved
PO200119,C02215,2024-10-15,1575,Pending
PO200120,C05257,2024-01-13,11879,Approved
PO200121,C03831,2024-03-08,21967,Approved
PO200122,C09501,2024-08-26,10274,Approved
PO200123,C06387,2024-10-18,11823,Approved
PO200124,C00404,2024-06-03,6885,Approved
PO200125,C00821,2024-01-02,16325,Approved
PO200126,C08384,2024-01-12,4336,Approved
PO200127,C07233,2024-01-17,9309,Approved
PO200128,C03935,2024-12-11,11828,Approved
PO200129,C00822,2024-05-04,13653,Approved
PO200130,C06304,2024-08-18,21984,Approved
PO200131,C02357,2024-07-28,18507,Approved
PO200132,C08106,2024-11-08,3070,Approved
PO200133,C08546,2024-10-12,11925,Approved
PO200134,C07582,2024-05-26,11905,Approved
PO200135,C03340,2024-07-03,23819,Delayed
PO200136,C09243,2024-09-30,18762,Approved
PO200137,C01729,2024-12-23,9428,Approved
PO200138,C07561,2024-04-30,16214,Pending
PO200139,C06480,2024-03-14,22022,Pending
PO200140,C03887,2024-01-17,14523,Approved
PO200141,C06040,2024-06-17,18420,Approved
PO200142,C04786,2024-09-05,19520,Approved
PO200143,C09246,2024-02-03,8383,Approved
PO200144,C03599,2024-12-08,8430,Pending
PO200145,C06537,2024-09-20,16832,Pending
PO200146,C03172,2024-08-28,19355,Pending
PO200147,C00053,2024-01-21,20491,Approved
PO200148,C09318,2024-11-04,4149,Approved
PO200149,C08498,2024-04-23,9906,Approved
PO200150,C00680,2024-06-17,18933,Approved
PO200151,C00930,2024-10-08,13152,Approved
PO200152,C06606,2024-03-24,17822,Delayed
PO200153,C03406,2024-12-06,11889,Approved
PO200154,C00237,2024-08-15,24294,Approved
PO200155,C07703,2024-06-14,21308,Approved
PO200156,C05888,2024-05-08,21707,Approved
PO200157,C08983,2024-05-13,15371,Approved
PO200158,C09538,2024-04-26,23669,Approved
PO200159,C09421,2024-05-01,6609,Approved
PO200160,C00884,2024-11-11,12787,Approved
PO200161,C06587,2024-09-08,5504,Delayed
PO200162,C05296,2024-06-27,19776,Approved
PO200163,C04284,2024-10-07,6049,Approved
PO200164,C00998,2024-08-08,14129,Approved
PO200165,C07572,2024-09-27,14382,Approved
PO200166,C00108,2024-07-21,9448,Approved
PO200167,C09965,2024-03-19,5954,Pending
PO200168,C00825,2024-02-01,2240,Delayed
PO200169,C07460,2024-05-01,19757,Approved
PO200170,C02361,2024-10-17,5672,Delayed
PO200171,C07729,2024-08-16,8095,Delayed
PO200172,C05542,2024-11-16,9206,Delayed
PO200173,C00677,2024-12-28,8273,Approved
PO200174,C04067,2024-03-18,23861,Approved
PO200175,C05301,2024-01-06,7995,Pending
PO200176,C09349,2024-05-23,18286,Pending
PO200177,C01556,2024-06-09,7354,Approved
PO200178,C08093,2024-11-07,9761,Pending
PO200179,C04062,2024-03-25,22547,Pending
PO200180,C08841,2024-01-12,16638,Pending
PO200181,C09549,2024-09-14,16895,Pending
PO200182,C01866,2024-11-24,8917,Approved
PO200183,C09425,2024-08-03,13744,Approved
PO200184,C03901,2024-04-11,8299,Approved
PO200185,C03389,2024-04-07,23543,Pending
PO200186,C01734,2024-12-10,17810,Approved
PO200187,C06162,2024-12-02,19067,Approved
PO200188,C00840,2024-11-07,23774,Approved
PO200189,C01755,2024-06-20,24428,Approved
PO200190,C02081,2024-11-23,5990,Delayed
PO200191,C04846,2024-05-13,12843,Approved
PO200192,C02609,2024-01-06,19410,Delayed
PO200193,C00877,2024-07-26,13648,Approved
PO200194,C09668,2024-04-07,20212,Approved
PO200195,C04849,2024-10-04,22805,Approved
PO200196,C00498,2024-09-24,2374,Approved
PO200197,C05166,2024-07-31,1348,Pending
PO200198,C02163,2024-09-11,12340,Delayed
PO200199,C02171,2024-03-11,10049,Approved
PO200200,C06495,2024-08-14,19049,Delayed
PO200201,C03511,2024-06-24,1323,Delayed
PO200202,C05962,2024-10-05,15847,Approved
PO200203,C07679,2024-09-26,2381,Pending
PO200204,C06219,2024-09-14,7781,Approved
PO200205,C08524,2024-02-29,13190,Approved
PO200206,C01163,2024-10-07,15153,Approved
PO200207,C08795,2024-02-25,22765,Pending
PO200208,C03607,2024-11-16,20754,Approved
PO200209,C05608,2024-11-16,1400,Approved
PO200210,C04157,2024-05-27,7956,Pending
PO200211,C03089,2024-04-15,2182,Pending
PO200212,C00839,2024-07-02,13874,Approved
PO200213,C02374,2024-05-08,18947,Approved
PO200214,C07267,2024-11-01,22961,Approved
PO200215,C02084,2024-04-21,6293,Approved
PO200216,C05969,2024-08-13,3652,Approved
PO200217,C02546,2024-11-04,19185,Approved
PO200218,C06357,2024-02-11,21144,Approved
PO200219,C06116,2024-09-11,14268,Approved
PO200220,C02079,2024-11-26,16183,Approved
PO200221,C06422,2024-03-03,5641,Approved
PO200222,C09343,2024-06-23,9667,Pending
PO200223,C07516,2024-11-28,21386,Approved
PO200224,C07245,2024-12-12,19420,Pending
PO200225,C07489,2024-12-08,18168,Delayed
PO200226,C03252,2024-02-26,16481,Delayed
PO200227,C05591,2024-07-22,2444,Approved
PO200228,C07243,2024-10-12,2097,Approved
PO200229,C08470,2024-07-22,15914,Approved
PO200230,C09393,2024-03-10,21502,Pending
PO200231,C00645,2024-06-01,13283,Pending
PO200232,C07818,2024-07-25,7208,Approved
PO200233,C05705,2024-11-27,3570,Delayed
PO200234,C03921,2024-03-04,21313,Approved
PO200235,C01791,2024-03-15,7476,Approved
PO200236,C07760,2024-12-30,10460,Pending
PO200237,C04426,2024-03-24,20645,Approved
PO200238,C06199,2024-08-10,19603,Delayed
PO200239,C08898,2024-03-09,24914,Pending
PO200240,C08495,2024-01-06,18947,Approved
PO200241,C08097,2024-10-17,24004,Approved
PO200242,C03145,2024-12-29,8833,Delayed
PO200243,C09873,2024-05-28,1306,Approved
PO200244,C04705,2024-10-28,10452,Approved
PO200245,C04142,2024-12-01,24773,Approved
PO200246,C03274,2024-05-09,16675,Approved
PO200247,C01830,2024-03-01,14448,Approved
PO200248,C04008,2024-09-03,12110,Approved
PO200249,C06008,2024-06-12,15496,Approved
PO200250,C00115,2024-06-28,21717,Approved
PO200251,C06005,2024-07-02,7713,Approved
PO200252,C08096,2024-02-18,24514,Approved
PO200253,C06541,2024-06-04,24336,Approved
PO200254,C07745,2024-01-12,9048,Delayed
PO200255,C01262,2024-02-01,13808,Approved
PO200256,C04696,2024-05-12,10701,Approved
PO200257,C04900,2024-01-18,6574,Approved
PO200258,C07594,2024-11-29,22986,Approved
PO200259,C07253,2024-07-16,20367,Approved
PO200260,C02499,2024-01-24,11931,Pending
PO200261,C09212,2024-12-14,23078,Approved
PO200262,C09028,2024-11-16,15035,Pending
PO200263,C05956,2024-12-18,9565,Approved
PO200264,C03080,2024-02-29,9573,Pending
PO200265,C03402,2024-06-19,17081,Approved
PO200266,C08887,2024-04-25,10856,Approved
PO200267,C00605,2024-08-27,8182,Approved
PO200268,C04001,2024-01-26,19915,Delayed
PO200269,C05782,2024-06-03,11300,Approved
PO200270,C07866,2024-03-24,20054,Approved
PO200271,C04340,2024-11-15,1090,Approved
PO200272,C08624,2024-05-28,17145,Approved
PO200273,C05568,2024-11-18,736,Approved
PO200274,C06669,2024-07-24,10472,Approved
PO200275,C08774,2024-03-14,13525,Approved
PO200276,C03293,2024-02-08,3617,Approved
PO200277,C06095,2024-02-28,5373,Approved
PO200278,C00579,2024-05-24,15763,Approved
PO200279,C00771,2024-08-05,4058,Delayed
PO200280,C00064,2024-02-28,2481,Pending
PO200281,C03424,2024-09-21,22033,Approved
PO200282,C01922,2024-04-06,12687,Approved
PO200283,C07869,2024-09-16,18622,Approved
PO200284,C00055,2024-08-25,14498,Approved
PO200285,C05137,2024-12-27,18754,Approved
PO200286,C03190,2024-01-16,10156,Approved
PO200287,C01466,2024-03-27,5104,Approved
PO200288,C06652,2024-08-28,22437,Approved
PO200289,C02752,2024-02-19,4840,Approved
PO200290,C06886,2024-01-15,11507,Pending
PO200291,C00726,2024-11-12,20813,Approved
PO200292,C06853,2024-09-27,24680,Approved
PO200293,C01469,2024-06-19,9418,Approved
PO200294,C09512,2024-09-23,10240,Approved
PO200295,C06107,2024-05-19,18262,Approved
PO200296,C00830,2024-09-02,6226,Approved
PO200297,C04950,2024-07-02,13146,Approved
PO200298,C09499,2024-05-27,13319,Approved
PO200299,C02580,2024-05-18,13510,Delayed
PO200300,C02853,2024-07-20,19881,Delayed
PO200301,C08047,2024-08-04,15596,Pending
PO200302,C00250,2024-11-07,5068,Approved
PO200303,C03471,2024-09-06,532,Approved
PO200304,C00543,2024-09-11,19344,Approved
PO200305,C00375,2024-07-06,24559,Pending
PO200306,C04658,2024-01-30,24814,Approved
PO200307,C07644,2024-06-01,11313,Pending
PO200308,C04487,2024-03-16,1125,Delayed
PO200309,C08743,2024-11-09,17652,Approved
PO200310,C04461,2024-02-01,15568,Approved
PO200311,C07534,2024-02-16,10124,Delayed
PO200312,C05063,2024-05-02,1312,Approved
PO200313,C08585,2024-04-21,8891,Pending
PO200314,C01016,2024-03-27,20761,Approved
PO200315,C04474,2024-04-03,4349,Pending
PO200316,C03065,2024-06-03,7733,Delayed
PO200317,C00236,2024-07-12,11269,Approved
PO200318,C06005,2024-10-08,16352,Pending
PO200319,C03735,2024-06-13,9138,Pending
PO200320,C00436,2024-07-01,7873,Pending
PO200321,C09594,2024-06-26,17434,Pending
PO200322,C06010,2024-04-26,19973,Approved
PO200323,C00934,2024-06-11,16806,Delayed
PO200324,C06034,2024-07-22,23027,Approved
PO200325,C08305,2024-09-19,6110,Approved
PO200326,C09433,2024-07-25,6464,Approved
PO200327,C05492,2024-02-18,8695,Approved
PO200328,C00606,2024-12-23,7779,Delayed
PO200329,C03442,2024-03-15,20307,Approved
PO200330,C02859,2024-01-15,3492,Approved
PO200331,C02756,2024-01-08,10096,Approved
PO200332,C02003,2024-07-25,23563,Approved
PO200333,C06880,2024-07-26,2273,Approved
PO200334,C03916,2024-08-26,4581,Approved
PO200335,C09415,2024-05-24,11629,Pending
PO200336,C08932,2024-01-20,21708,Pending
PO200337,C01350,2024-10-26,3089,Delayed
PO200338,C09617,2024-08-22,11752,Pending
PO200339,C09870,2024-04-05,10933,Delayed
PO200340,C00716,2024-11-06,13391,Approved
PO200341,C09591,2024-06-18,20096,Pending
PO200342,C08313,2024-06-13,4423,Approved
PO200343,C02379,2024-05-17,20818,Approved
PO200344,C02401,2024-07-12,3710,Approved
PO200345,C04156,2024-06-19,20125,Approved
PO200346,C05954,2024-12-10,6810,Pending
PO200347,C02008,2024-01-09,19672,Approved
PO200348,C01232,2024-07-07,24769,Approved
PO200349,C04991,2024-04-03,5441,Delayed
PO200350,C00365,2024-08-26,16141,Approved
PO200351,C00201,2024-05-13,3233,Approved
PO200352,C03333,2024-03-11,14404,Delayed
PO200353,C02091,2024-06-03,4509,Approved
PO200354,C04353,2024-09-04,1449,Pending
PO200355,C07568,2024-01-05,16393,Approved
PO200356,C09561,2024-11-01,7977,Approved
PO200357,C06867,2024-07-26,11594,Delayed
PO200358,C06717,2024-06-20,24594,Pending
PO200359,C04462,2024-08-04,20810,Approved
PO200360,C00219,2024-10-14,3281,Approved
PO200361,C09865,2024-05-07,504,Approved
PO200362,C08956,2024-04-28,13178,Approved
PO200363,C02501,2024-02-28,20928,Approved
PO200364,C02588,2024-03-17,11982,Approved
PO200365,C02897,2024-01-18,12861,Approved
PO200366,C07092,2024-06-06,14900,Delayed
PO200367,C09749,2024-07-02,5393,Approved
PO200368,C02450,2024-02-28,19313,Approved
PO200369,C00885,2024-02-05,11210,Approved
PO200370,C04350,2024-09-28,17620,Approved
PO200371,C02630,2024-07-13,22211,Approved
PO200372,C00869,2024-08-21,21433,Approved
PO200373,C04823,2024-04-28,11334,Pending
PO200374,C06482,2024-12-03,10799,Approved
PO200375,C04461,2024-01-31,1283,Pending
PO200376,C05856,2024-05-15,2167,Approved
PO200377,C01845,2024-11-26,7849,Pending
PO200378,C03028,2024-07-13,20862,Pending
PO200379,C02742,2024-02-05,10043,Approved
PO200380,C01253,2024-09-10,1013,Approved
PO200381,C02693,2024-11-11,19068,Approved
PO200382,C02723,2024-12-06,8888,Approved
PO200383,C08895,2024-11-05,2947,Approved
PO200384,C05000,2024-07-11,7764,Approved
PO200385,C03531,2024-02-19,14189,Approved
PO200386,C01217,2024-07-16,3688,Approved
PO200387,C09696,2024-12-20,8915,Approved
PO200388,C00672,2024-06-18,5396,Approved
PO200389,C03874,2024-07-05,21772,Approved
PO200390,C06413,2024-04-10,2363,Approved
PO200391,C01062,2024-09-26,1641,Approved
PO200392,C08387,2024-10-19,23286,Approved
PO200393,C04068,2024-07-10,18452,Pending
PO200394,C00322,2024-11-20,14298,Approved
PO200395,C01067,2024-12-30,1097,Approved
PO200396,C00452,2024-01-10,15211,Approved
PO200397,C00141,2024-01-12,13461,Approved
PO200398,C03472,2024-07-31,19633,Approved
PO200399,C06698,2024-08-27,6558,Pending
PO200400,C04465,2024-05-15,13244,Approved
PO200401,C01792,2024-07-06,13193,Approved
PO200402,C01270,2024-07-16,2678,Approved
PO200403,C09114,2024-05-18,16133,Approved
PO200404,C05979,2024-07-17,14748,Approved
PO200405,C09214,2024-10-05,23458,Approved
PO200406,C04918,2024-08-05,2928,Pending
PO200407,C05776,2024-01-31,10568,Approved
PO200408,C08440,2024-11-23,14261,Approved
PO200409,C03039,2024-09-12,703,Approved
PO200410,C03545,2024-03-01,9018,Approved
PO200411,C03891,2024-02-10,23358,Approved
PO200412,C01275,2024-09-12,4917,Approved
PO200413,C00234,2024-05-27,1386,Pending
PO200414,C00183,2024-03-17,23270,Pending
PO200415,C04742,2024-02-14,4526,Approved
PO200416,C02215,2024-05-11,19526,Pending
PO200417,C00353,2024-12-09,11472,Approved
PO200418,C03580,2024-03-09,1221,Approved
PO200419,C00426,2024-10-11,1305,Approved
PO200420,C03165,2024-03-19,8308,Approved
PO200421,C04178,2024-12-05,5184,Pending
PO200422,C00238,2024-03-18,21290,Approved
PO200423,C00142,2024-07-25,12980,Approved
PO200424,C07498,2024-03-08,6606,Approved
PO200425,C03243,2024-11-16,20154,Approved
PO200426,C05192,2024-11-11,4507,Delayed
PO200427,C01544,2024-04-04,23080,Approved
PO200428,C09811,2024-10-03,3276,Approved
PO200429,C07408,2024-09-29,6014,Approved
PO200430,C07655,2024-11-26,9674,Pending
PO200431,C02519,2024-04-17,16437,Pending
PO200432,C06999,2024-11-06,8541,Delayed
PO200433,C05643,2024-04-30,4421,Approved
PO200434,C04258,2024-06-27,24334,Approved
PO200435,C01246,2024-09-29,9905,Pending
PO200436,C04880,2024-05-25,15000,Approved
PO200437,C02564,2024-09-07,13703,Approved
PO200438,C09554,2024-09-20,15565,Approved
PO200439,C07989,2024-11-13,1529,Pending
PO200440,C02472,2024-07-21,24377,Pending
PO200441,C00109,2024-03-30,2009,Approved
PO200442,C09382,2024-05-06,24986,Pending
PO200443,C01062,2024-01-02,18016,Delayed
PO200444,C00435,2024-06-16,3094,Approved
PO200445,C01297,2024-03-16,22049,Approved
PO200446,C07307,2024-05-25,14692,Pending
PO200447,C06975,2024-04-15,18959,Approved
PO200448,C05000,2024-11-08,22128,Approved
PO200449,C01228,2024-10-28,12091,Approved
PO200450,C03331,2024-03-04,19407,Approved
PO200451,C07468,2024-02-16,4876,Pending
PO200452,C00459,2024-04-10,2294,Approved
PO200453,C07754,2024-01-07,19940,Approved
PO200454,C00855,2024-09-11,16669,Approved
PO200455,C08126,2024-01-14,13990,Approved
PO200456,C03729,2024-08-20,3442,Approved
PO200457,C04359,2024-01-17,13244,Approved
PO200458,C03098,2024-04-22,10111,Pending
PO200459,C01322,2024-01-24,12061,Approved
PO200460,C00731,2024-09-20,1902,Approved
PO200461,C05370,2024-08-12,4932,Delayed
PO200462,C08544,2024-01-28,8211,Approved
PO200463,C03029,2024-01-07,8872,Approved
PO200464,C08448,2024-10-31,22834,Approved
PO200465,C02878,2024-04-21,17212,Approved
PO200466,C01958,2024-04-20,19478,Approved
PO200467,C05047,2024-04-14,11655,Pending
PO200468,C01687,2024-12-06,2958,Approved
PO200469,C07169,2024-04-24,23156,Pending
PO200470,C07048,2024-11-05,4011,Approved
PO200471,C09192,2024-03-27,3510,Approved
PO200472,C08819,2024-04-11,5862,Approved
PO200473,C07971,2024-07-29,14699,Pending
PO200474,C03217,2024-05-03,11720,Pending
PO200475,C03056,2024-07-19,3451,Approved
PO200476,C02902,2024-09-25,17533,Delayed
PO200477,C05211,2024-07-29,9871,Approved
PO200478,C08485,2024-07-26,22870,Pending
PO200479,C05195,2024-06-24,22663,Pending
PO200480,C02563,2024-11-30,24449,Approved
PO200481,C05838,2024-11-21,24604,Approved
PO200482,C07542,2024-09-01,10190,Approved
PO200483,C08978,2024-05-03,10883,Approved
PO200484,C06973,2024-10-09,7689,Pending
PO200485,C06073,2024-12-02,5940,Delayed
PO200486,C08969,2024-01-08,8255,Delayed
PO200487,C01913,2024-08-15,12224,Approved
PO200488,C03848,2024-10-21,5042,Approved
PO200489,C03524,2024-05-27,11568,Approved
PO200490,C01842,2024-11-27,12916,Delayed
PO200491,C00513,2024-12-14,9248,Pending
PO200492,C06905,2024-05-31,10734,Approved
PO200493,C02019,2024-09-11,8353,Approved
PO200494,C00365,2024-05-29,16856,Approved
PO200495,C09639,2024-02-19,24982,Delayed
PO200496,C07189,2024-03-04,9631,Approved
PO200497,C00811,2024-08-12,14399,Delayed
PO200498,C08763,2024-12-20,24694,Approved
PO200499,C09440,2024-03-11,23734,Approved
PO200500,C02464,2024-11-11,19216,Approved
PO200501,C00163,2024-07-27,7319,Approved
PO200502,C01397,2024-09-28,17909,Delayed
PO200503,C00458,2024-01-08,2605,Pending
PO200504,C04448,2024-10-21,11118,Approved
PO200505,C01108,2024-05-28,2864,Approved
PO200506,C00967,2024-12-17,11282,Approved
PO200507,C05890,2024-09-03,11709,Delayed
PO200508,C02524,2024-10-01,11286,Pending
PO200509,C09332,2024-09-03,15785,Pending
PO200510,C00994,2024-04-11,13022,Delayed
PO200511,C06166,2024-05-04,18498,Approved
PO200512,C08138,2024-08-09,10865,Approved
PO200513,C00151,2024-08-29,15194,Delayed
PO200514,C08147,2024-01-16,5988,Approved
PO200515,C09064,2024-04-01,18441,Approved
PO200516,C09324,2024-02-19,6994,Approved
PO200517,C04478,2024-04-12,17405,Approved
PO200518,C09972,2024-02-17,21853,Approved
PO200519,C01398,2024-07-19,11498,Approved
PO200520,C09482,2024-02-27,10215,Pending
PO200521,C06975,2024-11-03,12446,Pending
PO200522,C00988,2024-07-14,8922,Approved
PO200523,C07354,2024-07-12,21095,Approved
PO200524,C00636,2024-01-21,11308,Approved
PO200525,C04430,2024-09-23,11372,Approved
PO200526,C04077,2024-04-09,10392,Approved
PO200527,C06669,2024-05-29,19858,Approved
PO200528,C03290,2024-01-30,16527,Approved
PO200529,C08025,2024-09-30,20811,Approved
PO200530,C03997,2024-07-16,21432,Approved
PO200531,C00386,2024-03-12,16714,Approved
PO200532,C07395,2024-01-31,4889,Pending
PO200533,C03432,2024-01-13,19261,Approved
PO200534,C05996,2024-10-24,8015,Approved
PO200535,C08628,2024-10-27,16392,Approved
PO200536,C02998,2024-01-14,20221,Approved
PO200537,C09193,2024-03-09,13290,Approved
PO200538,C09564,2024-06-14,24749,Approved
PO200539,C09353,2024-10-17,18078,Approved
PO200540,C03236,2024-09-29,9096,Approved
PO200541,C07427,2024-02-08,22535,Approved
PO200542,C00292,2024-11-14,13784,Pending
PO200543,C09285,2024-03-22,9654,Pending
PO200544,C04122,2024-08-16,24818,Pending
PO200545,C03854,2024-12-06,2006,Approved
PO200546,C09817,2024-05-10,1801,Approved
PO200547,C07919,2024-12-26,14664,Pending
PO200548,C05699,2024-04-04,11526,Approved
PO200549,C08320,2024-04-11,8217,Approved
PO200550,C03310,2024-06-30,22929,Approved
PO200551,C05796,2024-06-12,9646,Pending
PO200552,C05612,2024-01-20,17371,Approved
PO200553,C00201,2024-07-10,2454,Delayed
PO200554,C08438,2024-03-24,14440,Approved
PO200555,C00477,2024-12-13,20155,Approved
PO200556,C05827,2024-09-06,13088,Approved
PO200557,C02898,2024-06-04,13476,Approved
PO200558,C03137,2024-04-27,24460,Approved
PO200559,C09196,2024-04-22,3415,Approved
PO200560,C02592,2024-03-14,15103,Delayed
PO200561,C06542,2024-04-01,17250,Approved
PO200562,C08823,2024-03-30,21442,Approved
PO200563,C01002,2024-11-03,14806,Approved
PO200564,C06775,2024-05-26,4884,Pending
PO200565,C09848,2024-04-11,22835,Approved
PO200566,C05444,2024-03-12,20133,Approved
PO200567,C01080,2024-07-04,21465,Approved
PO200568,C05367,2024-01-14,14637,Approved
PO200569,C03811,2024-11-09,15287,Approved
PO200570,C03171,2024-05-11,21352,Pending
PO200571,C02027,2024-02-18,3527,Approved
PO200572,C02063,2024-10-04,4656,Approved
PO200573,C02519,2024-07-06,9342,Pending
PO200574,C02657,2024-04-25,23832,Approved
PO200575,C04407,2024-12-15,6407,Approved
PO200576,C03112,2024-08-31,3039,Approved
PO200577,C07353,2024-07-01,13910,Delayed
PO200578,C01512,2024-04-19,794,Pending
PO200579,C08048,2024-03-15,9180,Approved
PO200580,C09735,2024-01-07,3208,Approved
PO200581,C08187,2024-02-23,11643,Approved
PO200582,C09098,2024-11-27,3217,Approved
PO200583,C05427,2024-04-01,18697,Pending
PO200584,C04684,2024-02-04,7564,Pending
PO200585,C06497,2024-01-25,22290,Approved
PO200586,C07458,2024-01-04,11134,Approved
PO200587,C02530,2024-07-27,4955,Approved
PO200588,C09334,2024-03-19,22314,Approved
PO200589,C08339,2024-10-21,16445,Pending
PO200590,C08068,2024-04-08,8176,Approved
PO200591,C01880,2024-08-05,20917,Approved
PO200592,C02464,2024-08-24,12080,Approved
PO200593,C06864,2024-10-08,19543,Approved
PO200594,C06479,2024-02-11,15776,Pending
PO200595,C00340,2024-06-01,4465,Approved
PO200596,C02234,2024-08-02,12281,Approved
PO200597,C00924,2024-09-25,564,Pending
PO200598,C06262,2024-10-08,17013,Pending
PO200599,C08572,2024-07-15,22743,Approved
PO200600,C03375,2024-05-21,1096,Pending
PO200601,C01124,2024-01-05,1809,Approved
PO200602,C05342,2024-10-14,9220,Approved
PO200603,C05598,2024-11-23,14349,Approved
