invoice_id,payment_id,payment_date,payment_amount,payment_method
INV117617,P100075,2025-01-30,2904.5,Check
INV114568,P100076,2024-11-23,4478.0,Wire
INV100980,P100077,2025-03-15,24331.0,Check
INV102783,P100078,2024-11-26,3412.5,ACH
INV107713,P100079,2024-07-31,2395.0,Wire
INV111518,P100080,2024-02-13,2640.0,ACH
INV108600,P100081,2024-05-11,24862.0,Check
INV111640,P100082,2024-11-17,18166.0,Wire
INV118830,P100083,2024-07-26,10165.0,Check
INV112562,P100084,2024-04-13,6274.0,ACH
INV112751,P100085,2024-12-15,3736.0,ACH
INV106384,P100086,2024-09-13,9739.0,ACH
INV104807,P100087,2024-06-20,23116.0,ACH
INV106195,P100088,2024-04-20,10709.0,Check
INV110648,P100089,2024-02-01,1054.0,Wire
INV107567,P100090,2024-04-20,10473.0,ACH
INV116397,P100091,2024-10-04,23293.0,Wire
INV117524,P100092,2025-03-22,24273.0,Check
INV101346,P100093,2024-11-29,20242.0,Wire
INV113124,P100094,2024-06-07,18731.0,Wire
INV112673,P100095,2025-01-26,1000.0,Wire
INV115455,P100096,2024-11-18,19128.0,Check
INV114001,P100097,2024-07-24,458.0,Check
INV118621,P100098,2025-02-19,3715.5,ACH
INV102119,P100099,2025-03-03,7179.0,Check
INV115304,P100100,2024-09-09,22029.0,ACH
INV104309,P100101,2024-10-02,14416.0,ACH
INV104484,P100102,2024-07-04,4782.0,Wire
INV111013,P100103,2024-02-17,4607.0,Check
INV104770,P100104,2024-12-31,21772.0,Wire
INV102712,P100105,2024-12-09,13057.0,Check
INV112186,P100106,2025-02-28,1229.5,Check
INV116615,P100107,2024-07-11,2857.0,Check
INV110947,P100108,2025-01-03,6420.0,ACH
INV102545,P100109,2024-07-24,17773.0,Wire
INV112619,P100110,2025-03-21,18066.0,Check
INV109851,P100111,2024-04-11,538.0,ACH
INV104410,P100112,2024-08-04,20001.0,Check
INV119647,P100113,2024-10-08,2682.0,ACH
INV112344,P100114,2024-07-20,3033.0,ACH
INV112407,P100115,2024-12-02,7035.5,Check
INV109610,P100116,2024-05-08,5824.0,Check
INV110718,P100117,2024-10-24,22504.0,Check
INV107571,P100118,2024-10-06,23656.0,Wire
INV103570,P100119,2024-05-18,16315.0,Check
INV108602,P100120,2024-06-24,17182.0,Check
INV103559,P100121,2024-05-05,1136.0,Check
INV104991,P100122,2024-07-14,9609.0,ACH
INV107439,P100123,2024-10-01,17217.0,Check
INV109325,P100124,2024-12-21,9937.5,ACH
INV102300,P100125,2024-06-19,11734.0,Wire
INV107666,P100126,2025-02-24,15252.0,Wire
INV105804,P100127,2024-09-14,12494.0,ACH
INV112022,P100128,2025-02-08,2982.0,ACH
INV115537,P100129,2024-10-07,18353.0,Wire
INV109757,P100130,2024-12-27,18422.0,Wire
INV112014,P100131,2024-11-16,22186.0,Check
INV105211,P100132,2024-02-01,13987.0,Wire
INV111548,P100133,2025-01-05,17658.0,Check
INV112366,P100134,2024-09-05,19319.0,Wire
INV109270,P100135,2024-07-03,18251.0,ACH
INV103975,P100136,2024-10-23,19356.0,ACH
INV116090,P100137,2024-08-27,19847.0,Check
INV117232,P100138,2024-10-19,20010.0,Check
INV117443,P100139,2024-06-08,15697.0,Wire
INV113656,P100140,2024-03-28,4655.0,Wire
INV115645,P100141,2025-01-10,24603.0,Check
INV102730,P100142,2024-08-17,4923.0,Wire
INV103298,P100143,2025-01-08,18895.0,ACH
INV108956,P100144,2024-01-31,1930.0,Wire
INV117410,P100145,2024-03-22,19931.0,Check
INV115155,P100146,2024-05-21,14353.0,Check
INV117276,P100147,2025-01-16,12208.0,Wire
INV106703,P100148,2024-09-13,7345.0,ACH
INV101968,P100149,2024-11-15,13546.0,Check
INV104936,P100150,2024-09-15,844.0,Check
INV102112,P100151,2025-01-31,3993.0,Wire
INV100878,P100152,2024-06-13,3395.0,Wire
INV119075,P100153,2024-11-04,7995.0,ACH
INV112989,P100154,2024-08-26,14404.0,ACH
INV107277,P100155,2024-04-09,9950.0,Wire
INV105709,P100156,2025-02-15,13236.0,Wire
INV112078,P100157,2024-08-08,6894.0,Wire
INV106687,P100158,2024-08-19,21095.0,Wire
INV106418,P100159,2024-06-30,22782.0,ACH
INV110431,P100160,2024-07-19,15394.0,Wire
INV109982,P100161,2024-07-21,6284.0,Wire
INV119073,P100162,2025-03-17,10607.0,Check
INV104629,P100163,2025-01-15,10173.0,Check
INV108862,P100164,2025-01-20,5326.0,ACH
INV104667,P100165,2024-11-12,22183.0,ACH
INV114163,P100166,2024-07-09,17737.0,Check
INV100385,P100167,2024-07-08,3180.5,Wire
INV104186,P100168,2024-08-20,22214.0,Wire
INV105345,P100169,2024-06-10,23078.0,ACH
INV102195,P100170,2024-12-21,22965.0,ACH
INV114990,P100171,2024-07-08,11872.0,Check
INV112634,P100172,2024-09-04,11599.0,Check
INV101077,P100173,2024-11-13,17144.0,ACH
INV106286,P100174,2024-07-15,12143.0,Check
INV105933,P100175,2024-11-10,20608.0,Wire
INV118512,P100176,2024-05-21,15173.0,ACH
INV119717,P100177,2024-07-08,15288.0,ACH
INV113363,P100178,2024-09-19,20144.0,Wire
INV108072,P100179,2024-10-26,4875.0,Wire
INV117020,P100180,2024-02-23,10245.0,Wire
INV109543,P100181,2025-03-22,22112.0,ACH
INV119094,P100182,2024-09-09,6398.0,Check
INV113355,P100183,2025-03-14,4692.0,Check
INV118631,P100184,2025-02-07,1642.0,Check
INV102848,P100185,2024-02-23,3098.0,Wire
INV112791,P100186,2024-11-19,3040.0,Check
INV107722,P100187,2024-04-09,23508.0,ACH
INV100812,P100188,2024-03-24,21143.0,Wire
INV111193,P100189,2024-11-18,19513.0,ACH
INV105135,P100190,2024-08-06,8206.0,Check
INV108510,P100191,2025-02-02,23431.0,Check
INV107434,P100192,2024-05-22,10871.5,Wire
INV116476,P100193,2024-03-10,18763.0,Wire
INV100936,P100194,2024-02-13,24840.0,Check
INV111965,P100195,2024-07-15,18054.0,Check
INV101692,P100196,2024-06-26,347.5,Check
INV106216,P100197,2024-05-03,10057.5,Wire
INV109459,P100198,2024-10-19,4534.0,Wire
INV112527,P100199,2024-09-01,5173.0,ACH
INV115484,P100200,2024-12-06,16473.0,ACH
INV105792,P100201,2024-03-22,13721.0,Check
INV112266,P100202,2024-04-03,323.0,ACH
INV102221,P100203,2024-08-07,5696.0,Check
INV115757,P100204,2024-09-19,15673.0,Wire
INV104693,P100205,2024-02-20,14630.0,ACH
INV110108,P100206,2024-11-08,11489.5,Wire
INV105107,P100207,2024-11-11,21972.0,Wire
INV113480,P100208,2024-04-24,10313.0,ACH
INV104745,P100209,2024-07-14,11527.0,Check
INV101604,P100210,2025-01-07,7484.0,Check
INV117395,P100211,2024-05-08,10003.0,Wire
INV116863,P100212,2024-02-20,9652.5,Check
INV108213,P100213,2024-11-19,21864.0,Wire
INV101092,P100214,2025-02-03,4260.0,Wire
INV113884,P100215,2024-04-12,9318.0,Check
INV106311,P100216,2024-08-29,13976.0,Check
INV109012,P100217,2025-03-22,20190.0,Check
INV100351,P100218,2024-08-01,2693.5,ACH
INV114782,P100219,2024-09-23,18778.0,ACH
INV101530,P100220,2024-12-31,21959.0,Wire
INV113591,P100221,2024-05-05,3480.0,ACH
INV115215,P100222,2024-04-22,20919.0,ACH
INV111540,P100223,2024-04-21,10955.5,ACH
INV100218,P100224,2024-11-09,8320.0,Check
INV106813,P100225,2024-10-07,17786.0,Check
INV105357,P100226,2024-12-09,20378.0,ACH
INV115729,P100227,2024-05-06,16927.0,Check
INV113043,P100228,2024-12-01,18900.0,Check
INV101453,P100229,2024-02-19,1663.5,ACH
INV114932,P100230,2025-02-17,12251.0,Wire
INV104740,P100231,2024-07-13,3395.0,Check
INV102814,P100232,2024-04-19,18633.0,ACH
INV107886,P100233,2024-04-14,1622.0,Check
INV104973,P100234,2024-11-15,6613.0,Check
INV101182,P100235,2024-10-26,1160.5,Check
INV110035,P100236,2024-08-31,2243.0,Wire
INV103947,P100237,2024-11-01,22410.0,ACH
INV103189,P100238,2024-03-09,921.0,Wire
INV114480,P100239,2024-10-25,14936.0,Check
INV119826,P100240,2024-08-14,10619.0,Wire
INV109623,P100241,2024-09-07,22804.0,ACH
INV101006,P100242,2024-05-18,18529.0,ACH
INV102325,P100243,2024-08-05,9434.5,Check
INV110645,P100244,2024-06-28,6508.5,Wire
INV119523,P100245,2024-03-12,7538.0,ACH
INV117725,P100246,2024-08-15,14661.0,Check
INV105743,P100247,2025-03-16,20301.0,Wire
INV112680,P100248,2024-06-01,13262.0,Wire
INV114583,P100249,2024-02-15,3230.0,Wire
INV119257,P100250,2025-01-07,23473.0,ACH
INV111881,P100251,2024-08-04,1512.0,Wire
INV101027,P100252,2024-02-20,14941.0,Check
INV104069,P100253,2025-02-17,21586.0,Check
INV118572,P100254,2024-11-17,2859.0,ACH
INV114652,P100255,2024-06-04,19448.0,ACH
INV106650,P100256,2024-05-15,24066.0,Wire
INV115783,P100257,2024-10-21,2921.0,ACH
INV117648,P100258,2024-10-24,19476.0,Check
INV104622,P100259,2024-11-03,23816.0,Check
INV110385,P100260,2024-09-01,5172.5,ACH
INV113670,P100261,2024-11-21,8138.0,Wire
INV114046,P100262,2024-11-30,21579.0,Wire
INV101962,P100263,2024-09-25,6449.5,Wire
INV119874,P100264,2025-03-21,15499.0,Check
INV101599,P100265,2024-05-13,15594.0,Wire
INV109675,P100266,2024-12-27,20872.0,ACH
INV110952,P100267,2024-03-29,3717.0,Wire
INV104333,P100268,2024-02-10,21629.0,Wire
INV112099,P100269,2024-12-13,9276.5,Check
INV106955,P100270,2024-04-27,24825.0,Check
INV118821,P100271,2024-04-29,8298.0,Wire
INV108545,P100272,2024-11-05,14745.0,ACH
INV115974,P100273,2024-04-01,19202.0,Wire
INV113722,P100274,2024-12-02,2859.0,ACH
INV100695,P100275,2024-12-27,20691.0,Wire
INV115630,P100276,2024-10-23,2773.0,ACH
INV113589,P100277,2024-05-04,6358.0,Check
INV114521,P100278,2024-05-31,17667.0,ACH
INV119917,P100279,2024-06-12,5105.5,Check
INV109770,P100280,2024-05-11,8874.0,ACH
INV113377,P100281,2024-05-25,441.5,Wire
INV101034,P100282,2024-10-26,8037.0,Wire
INV110842,P100283,2024-05-31,16804.0,Wire
INV116592,P100284,2024-06-24,20204.0,Check
INV110421,P100285,2024-09-12,626.0,Wire
INV110979,P100286,2024-08-16,22736.0,Wire
INV102127,P100287,2024-04-06,3486.5,Wire
INV112187,P100288,2024-03-12,16177.0,Check
INV105970,P100289,2024-10-15,5110.0,ACH
INV113225,P100290,2024-06-01,18692.0,Wire
INV100993,P100291,2024-02-10,3216.0,Check
INV115084,P100292,2024-04-25,16670.0,Check
INV114845,P100293,2025-02-28,15772.0,Wire
INV114945,P100294,2024-12-28,7233.0,Wire
INV100447,P100295,2024-10-26,7074.5,Wire
INV117277,P100296,2024-12-03,23121.0,Check
INV105453,P100297,2024-12-02,10975.0,ACH
INV103211,P100298,2024-12-21,24581.0,Check
INV105561,P100299,2024-10-26,8431.5,Check
INV118911,P100300,2025-01-01,5430.0,Wire
INV103210,P100301,2024-07-19,5737.0,Check
INV113813,P100302,2024-08-23,2983.0,ACH
INV108966,P100303,2024-04-04,6436.0,Check
INV117653,P100304,2024-10-04,15529.0,Check
INV110649,P100305,2025-03-05,18073.0,Wire
INV119714,P100306,2024-08-17,4216.0,ACH
INV103971,P100307,2024-09-19,884.0,Check
INV110807,P100308,2024-10-31,6244.0,Wire
INV119544,P100309,2024-04-08,10134.0,ACH
INV111366,P100310,2024-09-16,22825.0,Wire
INV103778,P100311,2024-08-28,11804.0,Check
INV113079,P100312,2024-02-10,5798.0,Check
INV106352,P100313,2024-05-13,7598.5,Check
INV104007,P100314,2024-05-20,3433.0,Check
INV103776,P100315,2024-09-29,8853.0,Check
INV117147,P100316,2024-04-12,13292.0,Wire
INV114104,P100317,2024-12-04,7841.0,ACH
INV119145,P100318,2024-03-15,7817.0,Wire
INV119183,P100319,2024-06-04,21479.0,Check
INV108426,P100320,2024-09-20,19165.0,ACH
INV104337,P100321,2024-11-20,12802.0,Check
INV108117,P100322,2025-02-28,24851.0,Check
INV107763,P100323,2025-02-28,4876.0,Check
INV114012,P100324,2025-01-28,19773.0,Wire
INV113651,P100325,2024-12-26,16336.0,ACH
INV100438,P100326,2024-04-01,7693.0,ACH
INV116533,P100327,2024-06-11,10811.0,Wire
INV103269,P100328,2025-01-15,773.0,Check
INV103752,P100329,2024-11-05,3483.0,ACH
INV109113,P100330,2024-12-14,18854.0,Check
INV109440,P100331,2025-01-17,6328.5,Check
INV101739,P100332,2024-10-02,1021.0,ACH
INV100606,P100333,2024-04-30,21393.0,Check
INV117085,P100334,2024-04-06,21326.0,ACH
INV112998,P100335,2024-12-26,21561.0,ACH
INV116972,P100336,2024-03-20,21515.0,Wire
INV118366,P100337,2024-07-10,15511.0,Wire
INV115683,P100338,2024-04-01,8343.5,Wire
INV111037,P100339,2024-07-28,3155.0,Check
INV105746,P100340,2024-06-15,4066.0,ACH
INV111584,P100341,2024-04-19,11014.0,Wire
INV106270,P100342,2024-12-26,4977.5,ACH
INV108851,P100343,2025-02-18,5651.0,ACH
INV118408,P100344,2024-10-13,12863.0,ACH
INV106600,P100345,2024-04-13,4623.0,Wire
INV111378,P100346,2024-11-28,4794.0,Wire
INV117189,P100347,2025-01-07,17009.0,ACH
INV111605,P100348,2024-08-17,8277.0,ACH
INV106909,P100349,2025-02-27,19018.0,Wire
INV100738,P100350,2024-08-28,24619.0,ACH
INV101994,P100351,2024-09-27,9665.0,ACH
INV100119,P100352,2024-08-10,22376.0,Wire
INV114926,P100353,2024-02-22,1795.5,Wire
INV117609,P100354,2025-02-10,2019.0,Wire
INV117436,P100355,2024-11-18,3517.0,Check
INV118553,P100356,2024-04-04,22336.0,ACH
INV107293,P100357,2024-06-18,18272.0,Check
INV103405,P100358,2024-08-04,10170.0,ACH
INV110537,P100359,2024-09-12,5028.0,Check
INV118466,P100360,2024-06-10,21959.0,ACH
INV108626,P100361,2025-01-29,21889.0,ACH
INV103481,P100362,2025-02-26,7448.0,Check
INV117818,P100363,2024-03-25,813.5,Check
INV100127,P100364,2024-02-08,15972.0,Check
INV113426,P100365,2025-01-31,11773.5,ACH
INV110610,P100366,2025-02-20,5971.0,ACH
INV115273,P100367,2024-11-15,5925.0,ACH
INV119580,P100368,2024-04-02,17518.0,Wire
INV119285,P100369,2024-08-04,5036.0,Wire
INV112822,P100370,2024-11-21,19834.0,ACH
INV103073,P100371,2024-07-16,13961.0,Check
INV102380,P100372,2024-12-08,13336.0,ACH
INV102483,P100373,2024-07-23,20038.0,Wire
INV103461,P100374,2024-02-20,7378.0,ACH
INV115231,P100375,2025-03-11,3534.0,Wire
INV107458,P100376,2024-03-01,7404.0,Check
INV115884,P100377,2025-02-13,6041.5,ACH
INV106885,P100378,2024-09-24,9072.0,Wire
INV115097,P100379,2024-03-07,6211.0,Check
INV118684,P100380,2024-05-21,7009.0,Check
INV114970,P100381,2024-11-15,4706.0,ACH
INV100803,P100382,2024-12-07,8324.0,Check
INV100474,P100383,2024-07-02,24309.0,Wire
INV108608,P100384,2024-04-28,20442.0,ACH
INV106482,P100385,2025-01-12,16903.0,ACH
INV118287,P100386,2024-10-28,13406.0,Check
INV105557,P100387,2024-08-20,15599.0,ACH
INV113948,P100388,2025-01-08,12276.0,Wire
INV108891,P100389,2025-02-09,4208.0,Wire
INV112521,P100390,2025-02-27,6245.0,ACH
INV104448,P100391,2024-09-25,18236.0,ACH
INV100484,P100392,2024-07-23,22536.0,Check
INV110422,P100393,2024-12-13,9955.0,Wire
INV119411,P100394,2024-12-28,16857.0,Check
INV114900,P100395,2024-04-17,23768.0,Wire
INV111226,P100396,2024-08-20,4795.0,Wire
INV119132,P100397,2024-11-28,11656.0,ACH
INV107920,P100398,2024-06-22,6016.0,ACH
INV107911,P100399,2024-12-11,1662.0,ACH
INV102766,P100400,2025-01-02,17066.0,ACH
INV114865,P100401,2024-03-16,9217.0,ACH
INV116506,P100402,2024-11-08,21455.0,ACH
INV111688,P100403,2024-06-16,18970.0,Check
INV104037,P100404,2024-07-08,19536.0,ACH
INV100856,P100405,2024-11-08,4109.5,Wire
INV116136,P100406,2025-02-27,9381.5,ACH
INV108830,P100407,2024-08-28,3096.0,ACH
INV108803,P100408,2025-01-23,1498.0,ACH
INV111838,P100409,2024-06-28,12765.0,ACH
INV103826,P100410,2024-06-12,2221.5,Wire
INV118127,P100411,2024-07-09,24673.0,Wire
INV105995,P100412,2024-02-08,24692.0,ACH
INV100503,P100413,2024-11-04,20907.0,Wire
INV102959,P100414,2024-05-05,9366.0,Check
INV107988,P100415,2024-05-02,7814.5,Wire
INV109640,P100416,2024-04-14,6416.0,Check
INV108109,P100417,2024-03-19,13519.0,Wire
INV105382,P100418,2024-02-25,22745.0,Wire
INV113951,P100419,2024-12-01,20770.0,ACH
INV113138,P100420,2025-02-03,19765.0,ACH
INV117987,P100421,2024-05-10,12748.0,ACH
INV113435,P100422,2024-08-06,6979.0,Wire
INV107725,P100423,2024-03-27,18387.0,Wire
INV112033,P100424,2025-02-24,18060.0,Wire
INV108129,P100425,2024-04-02,16426.0,ACH
INV112787,P100426,2024-03-28,21876.0,Check
INV108292,P100427,2025-01-07,6954.0,ACH
INV118321,P100428,2024-11-15,5944.0,Wire
INV113060,P100429,2024-04-04,22750.0,Wire
INV103295,P100430,2024-08-09,3765.0,Check
INV108957,P100431,2025-02-25,17313.0,ACH
INV100115,P100432,2024-12-03,6811.0,Wire
INV105647,P100433,2024-07-02,8754.0,Wire
INV112624,P100434,2024-12-26,3294.0,Wire
INV114747,P100435,2025-01-16,3125.0,Wire
INV107181,P100436,2024-09-25,20298.0,ACH
INV101710,P100437,2025-02-03,16288.0,Wire
INV115957,P100438,2024-08-22,7709.0,Check
INV105817,P100439,2024-05-27,24735.0,Check
INV115278,P100440,2024-05-24,20663.0,Check
INV102480,P100441,2024-04-02,14528.0,Check
INV110250,P100442,2025-01-31,4880.0,ACH
INV104032,P100443,2024-02-12,2956.0,ACH
INV113347,P100444,2024-12-01,2680.0,ACH
INV116530,P100445,2024-04-10,13921.0,ACH
INV109514,P100446,2024-03-22,4121.5,Wire
INV104610,P100447,2024-07-13,4798.0,ACH
INV105117,P100448,2024-05-27,4760.5,ACH
INV116946,P100449,2025-01-07,4518.0,ACH
INV106385,P100450,2024-06-13,21193.0,Wire
INV115139,P100451,2024-09-14,23784.0,Wire
INV106271,P100452,2024-09-06,22960.0,Check
INV100341,P100453,2024-08-13,19045.0,Check
INV100828,P100454,2024-10-09,15239.0,ACH
INV112529,P100455,2024-03-27,22281.0,ACH
INV111551,P100456,2024-04-03,1435.0,Wire
INV109527,P100457,2024-04-25,11845.0,Check
INV111836,P100458,2024-04-21,7757.0,Wire
INV100313,P100459,2024-05-17,12298.5,Check
INV111697,P100460,2025-02-11,16232.0,Wire
INV110051,P100461,2025-02-11,19431.0,ACH
INV112863,P100462,2024-06-15,22858.0,Check
INV116070,P100463,2024-09-19,4084.0,ACH
INV117136,P100464,2024-12-23,3676.5,Wire
INV118261,P100465,2024-10-09,959.5,Check
INV104909,P100466,2024-02-01,15281.0,ACH
INV117796,P100467,2024-09-07,14830.0,ACH
INV108873,P100468,2024-06-24,20547.0,ACH
INV118285,P100469,2025-01-01,4064.0,ACH
INV100409,P100470,2024-08-29,9110.0,Check
INV103795,P100471,2025-03-03,9376.0,ACH
INV102703,P100472,2024-02-14,17077.0,Check
INV110342,P100473,2024-09-27,4922.5,Check
INV104981,P100474,2025-02-20,24823.0,Check
INV108582,P100475,2025-03-10,6265.5,Wire
INV107667,P100476,2025-01-26,17904.0,Wire
INV117517,P100477,2024-03-30,17801.0,Wire
INV117183,P100478,2024-10-05,17364.0,ACH
INV109725,P100479,2024-07-02,12611.0,ACH
INV118153,P100480,2024-10-03,3778.0,ACH
INV107499,P100481,2024-10-03,11774.0,ACH
INV117036,P100482,2024-09-22,5092.0,Check
INV107720,P100483,2024-11-27,19951.0,Check
INV101905,P100484,2024-06-22,19349.0,ACH
INV106717,P100485,2024-02-26,20030.0,Wire
INV102174,P100486,2024-10-29,3343.0,Wire
INV106769,P100487,2024-06-23,23955.0,Check
INV107161,P100488,2024-09-11,15172.0,ACH
INV106504,P100489,2024-08-18,4172.0,Check
INV118765,P100490,2024-12-19,20563.0,Check
INV104420,P100491,2024-10-18,7201.0,ACH
INV101272,P100492,2025-01-04,9705.0,Check
INV100451,P100493,2024-08-17,16396.0,ACH
INV103519,P100494,2024-04-05,7636.0,ACH
INV117477,P100495,2024-05-26,8908.0,ACH
INV109567,P100496,2024-12-08,5049.0,ACH
INV100247,P100497,2024-05-26,6490.0,Wire
INV117815,P100498,2024-06-17,10651.5,ACH
INV101747,P100499,2024-11-15,4273.0,ACH
INV102085,P100500,2025-01-30,18997.0,Wire
INV112492,P100501,2024-10-16,4574.5,ACH
INV113351,P100502,2024-11-28,10314.0,Check
INV104974,P100503,2024-02-17,19046.0,ACH
INV103498,P100504,2024-04-21,8948.0,Check
INV113442,P100505,2024-12-10,16945.0,Wire
INV101084,P100506,2024-03-17,23165.0,Wire
INV104935,P100507,2024-11-17,4319.0,Wire
INV106237,P100508,2024-12-13,1296.0,Wire
INV106734,P100509,2025-01-03,17774.0,Check
INV112983,P100510,2024-09-25,23988.0,ACH
INV114249,P100511,2025-03-21,18601.0,ACH
INV111982,P100512,2024-03-28,24176.0,ACH
INV105922,P100513,2024-11-21,8772.5,Check
INV117268,P100514,2024-03-23,6640.0,Wire
INV108948,P100515,2024-02-04,24919.0,Wire
INV119450,P100516,2025-01-27,15908.0,ACH
INV104149,P100517,2024-09-16,2055.0,ACH
INV105099,P100518,2024-09-25,20531.0,Wire
INV109512,P100519,2024-08-02,15036.0,Check
INV113259,P100520,2024-08-21,8191.5,ACH
INV117360,P100521,2024-08-11,10234.0,ACH
INV117037,P100522,2024-10-29,21682.0,Wire
INV103335,P100523,2024-05-02,20068.0,Check
INV117585,P100524,2024-11-03,13296.0,ACH
INV119819,P100525,2024-02-08,17267.0,ACH
INV113728,P100526,2025-03-05,10633.5,ACH
INV109893,P100527,2025-01-21,15665.0,Check
INV107650,P100528,2024-02-08,6381.5,Wire
INV102238,P100529,2024-02-17,16309.0,Wire
INV114204,P100530,2024-12-20,706.5,ACH
INV100251,P100531,2024-08-21,18575.0,Check
INV108196,P100532,2024-10-24,12320.0,ACH
INV104706,P100533,2024-03-11,4232.0,Wire
INV108143,P100534,2024-05-02,16295.0,Check
INV102714,P100535,2024-04-17,19863.0,Wire
INV118079,P100536,2024-12-15,7488.5,Check
INV109529,P100537,2025-02-05,19656.0,Check
INV110341,P100538,2024-08-12,21807.0,Check
INV115290,P100539,2024-12-22,11424.0,Check
INV100326,P100540,2024-06-01,4513.0,Check
INV104980,P100541,2024-03-23,3887.0,Wire
INV107438,P100542,2024-12-19,7834.0,Wire
INV106647,P100543,2024-12-17,5801.0,Check
INV106258,P100544,2024-07-20,18576.0,ACH
INV109047,P100545,2024-11-22,8495.5,Wire
INV103393,P100546,2024-02-22,16991.0,Check
INV117664,P100547,2025-01-17,3607.0,Check
INV119414,P100548,2024-06-28,19583.0,ACH
INV116117,P100549,2024-03-14,9940.0,Wire
INV101337,P100550,2024-10-01,13236.0,Check
INV103168,P100551,2024-07-03,13241.0,Wire
INV112860,P100552,2024-03-31,10858.0,ACH
INV119814,P100553,2025-03-17,2801.0,Check
INV102393,P100554,2024-11-28,23055.0,Wire
INV119915,P100555,2024-08-17,16451.0,Wire
INV115179,P100556,2024-07-15,7702.0,Check
INV105923,P100557,2025-03-08,4404.0,Check
INV116297,P100558,2024-11-20,10983.0,Wire
INV102743,P100559,2024-05-30,12918.0,Check
INV105005,P100560,2024-10-14,4834.0,Check
INV118716,P100561,2025-02-10,24835.0,ACH
INV119613,P100562,2024-07-07,2819.0,ACH
INV111643,P100563,2024-12-07,2909.0,Check
INV104119,P100564,2025-03-20,459.0,Wire
