interaction_id,customer_id,date,interaction_type,issue_category,notes
I300034,C00153,2024-06-01,Email,PO Approval,Interaction logged
I300035,C06096,2024-08-14,Meeting,Late Payment,Interaction logged
I300036,C04012,2024-10-05,Call,Service Issue,Interaction logged
I300037,C05408,2024-05-14,Meeting,PO Approval,Interaction logged
I300038,C08444,2024-04-02,Email,Late Payment,Interaction logged
I300039,C08080,2024-05-12,Call,Late Payment,Interaction logged
I300040,C06240,2024-02-14,Call,Late Payment,Interaction logged
I300041,C07456,2024-10-02,Email,Billing Question,Interaction logged
I300042,C02224,2024-12-01,Meeting,Billing Question,Interaction logged
I300043,C01428,2024-06-05,Meeting,Service Issue,Interaction logged
I300044,C06975,2025-02-12,Email,Billing Question,Interaction logged
I300045,C01578,2024-03-01,Email,Service Issue,Interaction logged
I300046,C05709,2024-11-16,Email,Service Issue,Interaction logged
I300047,C02161,2024-08-18,Call,Service Issue,Interaction logged
I300048,C01989,2024-09-16,Meeting,Service Issue,Interaction logged
I300049,C00771,2024-03-06,Call,PO Approval,Interaction logged
I300050,C07787,2024-07-07,Meeting,Late Payment,Interaction logged
I300051,C06289,2024-02-18,Meeting,Service Issue,Interaction logged
I300052,C08917,2024-05-03,Email,Service Issue,Interaction logged
I300053,C09367,2025-03-02,Call,Late Payment,Interaction logged
I300054,C08928,2024-06-13,Call,Billing Question,Interaction logged
I300055,C01282,2024-06-16,Call,Late Payment,Interaction logged
I300056,C04455,2024-04-17,Meeting,Late Payment,Interaction logged
I300057,C04312,2024-06-23,Call,Service Issue,Interaction logged
I300058,C08908,2024-12-11,Email,Service Issue,Interaction logged
I300059,C06741,2025-02-22,Email,Billing Question,Interaction logged
I300060,C07927,2024-01-21,Call,PO Approval,Interaction logged
I300061,C06648,2024-11-07,Call,Service Issue,Interaction logged
I300062,C04391,2024-11-18,Email,Late Payment,Interaction logged
I300063,C06225,2024-04-12,Meeting,PO Approval,Interaction logged
I300064,C02910,2025-01-09,Meeting,Billing Question,Interaction logged
I300065,C06814,2025-02-16,Call,Late Payment,Interaction logged
I300066,C08474,2024-10-20,Meeting,Service Issue,Interaction logged
I300067,C04619,2024-04-12,Email,Billing Question,Interaction logged
I300068,C03440,2024-06-04,Meeting,Billing Question,Interaction logged
I300069,C01532,2025-02-06,Meeting,Service Issue,Interaction logged
I300070,C02249,2024-05-07,Meeting,Billing Question,Interaction logged
I300071,C02391,2024-06-12,Call,PO Approval,Interaction logged
I300072,C03430,2024-11-22,Meeting,Late Payment,Interaction logged
I300073,C09537,2025-01-26,Email,Service Issue,Interaction logged
I300074,C05159,2024-05-27,Call,PO Approval,Interaction logged
I300075,C04834,2024-03-31,Call,PO Approval,Interaction logged
I300076,C02755,2024-11-20,Email,Late Payment,Interaction logged
I300077,C09623,2024-10-17,Email,Billing Question,Interaction logged
I300078,C06743,2025-03-16,Email,Service Issue,Interaction logged
I300079,C01541,2024-03-26,Call,PO Approval,Interaction logged
I300080,C05995,2024-10-26,Meeting,Late Payment,Interaction logged
I300081,C09815,2024-11-17,Meeting,PO Approval,Interaction logged
I300082,C02748,2024-03-29,Call,PO Approval,Interaction logged
I300083,C07485,2024-02-04,Call,Late Payment,Interaction logged
I300084,C01990,2024-09-24,Email,Late Payment,Interaction logged
I300085,C05007,2024-08-09,Email,Service Issue,Interaction logged
I300086,C01144,2024-08-16,Call,PO Approval,Interaction logged
I300087,C07873,2024-04-29,Meeting,PO Approval,Interaction logged
I300088,C03603,2024-10-16,Email,Billing Question,Interaction logged
I300089,C00283,2024-02-08,Call,Billing Question,Interaction logged
I300090,C01659,2024-05-17,Meeting,Late Payment,Interaction logged
I300091,C03659,2024-04-27,Meeting,Service Issue,Interaction logged
I300092,C03782,2024-10-12,Call,Service Issue,Interaction logged
I300093,C03621,2024-07-21,Meeting,PO Approval,Interaction logged
I300094,C00692,2024-08-13,Meeting,Service Issue,Interaction logged
I300095,C00988,2024-07-12,Meeting,Service Issue,Interaction logged
I300096,C02274,2024-01-16,Call,PO Approval,Interaction logged
I300097,C07814,2024-05-15,Call,Billing Question,Interaction logged
I300098,C06235,2025-03-16,Email,Late Payment,Interaction logged
I300099,C03337,2024-10-03,Meeting,Service Issue,Interaction logged
I300100,C02475,2024-09-13,Email,Late Payment,Interaction logged
I300101,C04631,2024-08-23,Meeting,Late Payment,Interaction logged
I300102,C03314,2024-11-22,Meeting,Billing Question,Interaction logged
I300103,C02840,2025-01-08,Meeting,Service Issue,Interaction logged
I300104,C05745,2024-09-12,Email,Billing Question,Interaction logged
I300105,C07631,2024-11-29,Email,PO Approval,Interaction logged
I300106,C06043,2024-01-05,Email,Billing Question,Interaction logged
I300107,C01156,2024-12-09,Email,Service Issue,Interaction logged
I300108,C09569,2024-09-07,Meeting,Billing Question,Interaction logged
I300109,C06061,2024-02-28,Call,Billing Question,Interaction logged
I300110,C04743,2025-01-14,Email,Late Payment,Interaction logged
I300111,C01195,2024-02-14,Email,Late Payment,Interaction logged
I300112,C03531,2024-06-27,Email,Billing Question,Interaction logged
I300113,C07529,2024-01-08,Meeting,Late Payment,Interaction logged
I300114,C02424,2024-04-22,Email,PO Approval,Interaction logged
I300115,C08010,2024-09-25,Meeting,PO Approval,Interaction logged
I300116,C07948,2024-10-06,Email,Service Issue,Interaction logged
I300117,C09438,2024-01-03,Meeting,PO Approval,Interaction logged
I300118,C06401,2024-09-07,Call,Late Payment,Interaction logged
I300119,C00106,2024-10-21,Meeting,Late Payment,Interaction logged
I300120,C03813,2024-07-13,Call,Service Issue,Interaction logged
I300121,C07851,2024-07-04,Email,Billing Question,Interaction logged
I300122,C05919,2024-10-19,Email,Billing Question,Interaction logged
I300123,C03539,2024-11-14,Email,Billing Question,Interaction logged
I300124,C08089,2024-01-15,Call,Late Payment,Interaction logged
I300125,C07501,2025-02-26,Email,Service Issue,Interaction logged
I300126,C09117,2024-05-27,Email,Service Issue,Interaction logged
I300127,C04876,2024-07-04,Meeting,Late Payment,Interaction logged
I300128,C01895,2024-12-30,Meeting,Billing Question,Interaction logged
I300129,C00849,2025-01-18,Meeting,Billing Question,Interaction logged
I300130,C00569,2024-11-26,Call,Late Payment,Interaction logged
I300131,C04615,2024-05-28,Meeting,Service Issue,Interaction logged
I300132,C04607,2024-06-16,Call,Late Payment,Interaction logged
I300133,C03087,2024-02-28,Email,Service Issue,Interaction logged
I300134,C08757,2024-11-28,Email,Service Issue,Interaction logged
I300135,C08363,2024-10-22,Meeting,Service Issue,Interaction logged
I300136,C08376,2024-12-30,Email,PO Approval,Interaction logged
I300137,C09286,2024-07-12,Meeting,Billing Question,Interaction logged
I300138,C06254,2024-02-20,Email,Service Issue,Interaction logged
I300139,C02069,2024-11-03,Call,Service Issue,Interaction logged
I300140,C03506,2025-03-25,Call,Late Payment,Interaction logged
I300141,C01007,2024-12-08,Meeting,Late Payment,Interaction logged
I300142,C07518,2024-04-28,Email,Billing Question,Interaction logged
I300143,C02545,2024-06-03,Email,Billing Question,Interaction logged
I300144,C09116,2024-11-15,Meeting,Billing Question,Interaction logged
I300145,C02927,2025-02-11,Meeting,Billing Question,Interaction logged
I300146,C00528,2024-09-03,Meeting,Billing Question,Interaction logged
I300147,C06379,2024-09-05,Call,Service Issue,Interaction logged
I300148,C03733,2024-01-23,Email,Billing Question,Interaction logged
I300149,C06140,2025-03-19,Call,Billing Question,Interaction logged
I300150,C03840,2025-02-11,Meeting,PO Approval,Interaction logged
I300151,C06461,2024-10-13,Call,Billing Question,Interaction logged
I300152,C07791,2024-12-27,Email,Service Issue,Interaction logged
I300153,C07774,2024-07-29,Call,Service Issue,Interaction logged
I300154,C02863,2025-01-26,Call,Late Payment,Interaction logged
I300155,C01368,2025-02-17,Meeting,Billing Question,Interaction logged
I300156,C07542,2024-08-02,Meeting,Late Payment,Interaction logged
I300157,C05450,2025-03-12,Email,Late Payment,Interaction logged
I300158,C01234,2024-11-04,Call,Billing Question,Interaction logged
I300159,C04348,2024-12-29,Email,Late Payment,Interaction logged
I300160,C01295,2024-07-25,Meeting,Late Payment,Interaction logged
I300161,C03705,2024-07-05,Email,Billing Question,Interaction logged
I300162,C07704,2024-12-27,Meeting,Billing Question,Interaction logged
I300163,C05706,2024-05-07,Email,PO Approval,Interaction logged
I300164,C07004,2025-03-08,Email,Billing Question,Interaction logged
I300165,C03445,2024-04-27,Call,PO Approval,Interaction logged
I300166,C00167,2025-01-19,Meeting,Billing Question,Interaction logged
I300167,C08936,2024-10-16,Call,Service Issue,Interaction logged
I300168,C06297,2025-03-17,Email,PO Approval,Interaction logged
I300169,C03073,2024-06-03,Email,PO Approval,Interaction logged
I300170,C02956,2025-02-01,Meeting,Service Issue,Interaction logged
I300171,C02838,2024-08-06,Meeting,PO Approval,Interaction logged
I300172,C00478,2024-10-19,Meeting,Late Payment,Interaction logged
I300173,C02777,2024-05-27,Meeting,Service Issue,Interaction logged
I300174,C05523,2025-01-18,Email,PO Approval,Interaction logged
I300175,C09535,2024-04-23,Email,PO Approval,Interaction logged
I300176,C00394,2024-07-26,Meeting,Billing Question,Interaction logged
I300177,C06341,2024-06-02,Email,Service Issue,Interaction logged
I300178,C05115,2025-01-09,Call,PO Approval,Interaction logged
I300179,C00641,2024-08-21,Call,Service Issue,Interaction logged
I300180,C07484,2024-02-16,Call,Late Payment,Interaction logged
I300181,C05504,2024-07-15,Email,PO Approval,Interaction logged
I300182,C09385,2024-12-05,Meeting,Billing Question,Interaction logged
I300183,C00277,2024-08-27,Call,Late Payment,Interaction logged
I300184,C09884,2025-02-13,Email,Billing Question,Interaction logged
I300185,C01579,2025-01-11,Meeting,Service Issue,Interaction logged
I300186,C01547,2024-03-25,Call,PO Approval,Interaction logged
I300187,C02351,2024-07-06,Meeting,PO Approval,Interaction logged
I300188,C06462,2024-04-21,Call,Billing Question,Interaction logged
I300189,C00562,2024-06-26,Email,PO Approval,Interaction logged
I300190,C03450,2024-10-30,Call,Service Issue,Interaction logged
I300191,C04821,2024-08-26,Call,PO Approval,Interaction logged
I300192,C00863,2024-03-08,Meeting,Late Payment,Interaction logged
I300193,C04666,2024-06-23,Meeting,Billing Question,Interaction logged
I300194,C05897,2024-06-27,Email,PO Approval,Interaction logged
I300195,C01581,2024-04-09,Meeting,Service Issue,Interaction logged
I300196,C06768,2024-08-17,Email,PO Approval,Interaction logged
I300197,C05292,2024-03-11,Call,PO Approval,Interaction logged
I300198,C04103,2024-05-29,Call,Service Issue,Interaction logged
I300199,C01065,2025-03-17,Call,Late Payment,Interaction logged
I300200,C00017,2025-01-13,Meeting,Late Payment,Interaction logged
I300201,C09191,2024-05-01,Meeting,PO Approval,Interaction logged
I300202,C01230,2024-01-15,Meeting,Service Issue,Interaction logged
I300203,C05625,2024-01-01,Call,Late Payment,Interaction logged
I300204,C04776,2024-09-15,Call,Late Payment,Interaction logged
I300205,C08258,2024-10-12,Meeting,Service Issue,Interaction logged
I300206,C09026,2024-02-26,Meeting,Late Payment,Interaction logged
I300207,C09041,2024-08-17,Meeting,Service Issue,Interaction logged
I300208,C01252,2025-03-13,Meeting,Late Payment,Interaction logged
I300209,C08606,2024-10-07,Call,Late Payment,Interaction logged
I300210,C07599,2024-07-05,Call,Late Payment,Interaction logged
I300211,C03462,2024-08-01,Meeting,Service Issue,Interaction logged
I300212,C01978,2024-05-23,Meeting,Billing Question,Interaction logged
I300213,C00196,2024-02-01,Call,PO Approval,Interaction logged
I300214,C09703,2024-04-16,Meeting,Late Payment,Interaction logged
I300215,C06461,2024-02-25,Email,PO Approval,Interaction logged
I300216,C01923,2024-09-26,Meeting,Late Payment,Interaction logged
I300217,C02084,2024-02-18,Call,Billing Question,Interaction logged
I300218,C09837,2025-01-06,Call,Billing Question,Interaction logged
I300219,C09232,2024-10-08,Email,Service Issue,Interaction logged
I300220,C05238,2024-11-12,Call,Billing Question,Interaction logged
I300221,C07921,2024-04-30,Meeting,Late Payment,Interaction logged
I300222,C06187,2024-03-17,Email,Billing Question,Interaction logged
I300223,C09095,2024-12-13,Meeting,Billing Question,Interaction logged
I300224,C05478,2024-05-08,Email,PO Approval,Interaction logged
I300225,C09409,2024-07-29,Call,Billing Question,Interaction logged
I300226,C02729,2024-01-22,Meeting,PO Approval,Interaction logged
I300227,C08092,2024-07-11,Call,Billing Question,Interaction logged
I300228,C00134,2024-03-06,Call,PO Approval,Interaction logged
I300229,C06008,2024-09-01,Call,Late Payment,Interaction logged
I300230,C06434,2024-03-12,Meeting,Service Issue,Interaction logged
I300231,C07089,2025-01-01,Meeting,Billing Question,Interaction logged
I300232,C01478,2024-08-15,Email,Late Payment,Interaction logged
I300233,C06326,2024-08-26,Email,Billing Question,Interaction logged
I300234,C00466,2024-04-10,Email,Service Issue,Interaction logged
I300235,C09013,2024-03-26,Meeting,PO Approval,Interaction logged
I300236,C05215,2024-06-11,Meeting,PO Approval,Interaction logged
I300237,C08863,2024-09-12,Email,Service Issue,Interaction logged
I300238,C01470,2024-05-04,Call,Billing Question,Interaction logged
I300239,C08274,2024-03-19,Call,Billing Question,Interaction logged
I300240,C00774,2024-06-25,Email,Late Payment,Interaction logged
I300241,C01938,2025-02-22,Email,Billing Question,Interaction logged
I300242,C08836,2024-06-25,Call,Service Issue,Interaction logged
I300243,C01117,2025-01-09,Meeting,Billing Question,Interaction logged
I300244,C07844,2024-03-26,Email,Service Issue,Interaction logged
I300245,C07633,2024-05-31,Call,PO Approval,Interaction logged
I300246,C08124,2024-04-29,Call,Service Issue,Interaction logged
I300247,C03819,2024-09-14,Meeting,PO Approval,Interaction logged
I300248,C02004,2024-06-21,Meeting,Service Issue,Interaction logged
I300249,C09206,2024-08-18,Meeting,Service Issue,Interaction logged
I300250,C04840,2024-04-11,Email,Late Payment,Interaction logged
I300251,C06195,2024-09-05,Email,Billing Question,Interaction logged
I300252,C00253,2024-05-25,Call,Billing Question,Interaction logged
I300253,C01199,2024-02-19,Meeting,Service Issue,Interaction logged
I300254,C08133,2024-01-27,Meeting,Service Issue,Interaction logged
I300255,C09841,2024-02-14,Call,PO Approval,Interaction logged
I300256,C03063,2024-05-10,Call,Late Payment,Interaction logged
I300257,C06235,2024-06-01,Meeting,Billing Question,Interaction logged
I300258,C06400,2025-03-07,Call,PO Approval,Interaction logged
I300259,C02373,2025-02-17,Call,PO Approval,Interaction logged
I300260,C02391,2024-12-25,Meeting,Late Payment,Interaction logged
I300261,C05588,2024-07-12,Email,Billing Question,Interaction logged
I300262,C09843,2024-01-27,Call,Late Payment,Interaction logged
I300263,C05211,2024-09-13,Meeting,Late Payment,Interaction logged
I300264,C07168,2024-01-14,Meeting,Billing Question,Interaction logged
I300265,C02597,2024-03-15,Call,Service Issue,Interaction logged
I300266,C07553,2024-10-08,Email,Late Payment,Interaction logged
I300267,C01380,2024-09-29,Email,PO Approval,Interaction logged
I300268,C03588,2024-10-12,Meeting,Billing Question,Interaction logged
I300269,C03737,2024-09-26,Email,Service Issue,Interaction logged
I300270,C02407,2024-05-12,Meeting,PO Approval,Interaction logged
I300271,C03228,2024-01-09,Email,Service Issue,Interaction logged
I300272,C04198,2024-08-21,Call,Late Payment,Interaction logged
I300273,C03513,2025-02-27,Call,Service Issue,Interaction logged
I300274,C08423,2024-08-31,Meeting,PO Approval,Interaction logged
I300275,C03265,2024-07-01,Meeting,Service Issue,Interaction logged
I300276,C05176,2024-06-29,Email,Service Issue,Interaction logged
I300277,C09817,2024-05-20,Email,Late Payment,Interaction logged
I300278,C08025,2024-01-03,Call,PO Approval,Interaction logged
I300279,C06012,2024-01-14,Call,Late Payment,Interaction logged
I300280,C05239,2025-03-18,Email,Billing Question,Interaction logged
I300281,C09249,2024-07-25,Call,Late Payment,Interaction logged
I300282,C00905,2024-12-21,Email,Service Issue,Interaction logged
I300283,C01930,2024-04-26,Call,Late Payment,Interaction logged
I300284,C01827,2024-09-03,Email,PO Approval,Interaction logged
I300285,C05754,2024-12-02,Meeting,PO Approval,Interaction logged
I300286,C09073,2025-01-20,Meeting,Service Issue,Interaction logged
I300287,C07755,2024-12-28,Meeting,PO Approval,Interaction logged
I300288,C01570,2024-06-17,Email,Late Payment,Interaction logged
I300289,C04843,2024-10-05,Email,Service Issue,Interaction logged
I300290,C08050,2024-07-24,Meeting,Service Issue,Interaction logged
I300291,C02454,2025-03-12,Call,Late Payment,Interaction logged
I300292,C03779,2024-07-12,Call,Service Issue,Interaction logged
I300293,C00386,2025-02-25,Call,Service Issue,Interaction logged
I300294,C01015,2024-01-09,Meeting,PO Approval,Interaction logged
I300295,C02876,2024-02-22,Call,Late Payment,Interaction logged
I300296,C06092,2024-09-15,Meeting,Service Issue,Interaction logged
I300297,C02512,2024-03-25,Meeting,Late Payment,Interaction logged
I300298,C07655,2025-01-12,Email,PO Approval,Interaction logged
I300299,C04454,2024-07-30,Meeting,Billing Question,Interaction logged
I300300,C03558,2025-01-07,Meeting,PO Approval,Interaction logged
I300301,C06258,2024-04-21,Email,Service Issue,Interaction logged
I300302,C07437,2024-11-02,Call,Billing Question,Interaction logged
I300303,C09703,2024-03-19,Email,Late Payment,Interaction logged
I300304,C09695,2025-01-08,Call,PO Approval,Interaction logged
I300305,C00372,2024-03-24,Email,Late Payment,Interaction logged
I300306,C03671,2024-03-31,Meeting,Billing Question,Interaction logged
I300307,C07675,2024-03-29,Email,Late Payment,Interaction logged
I300308,C04507,2024-05-22,Call,PO Approval,Interaction logged
I300309,C02010,2025-03-07,Call,Late Payment,Interaction logged
I300310,C05948,2024-02-24,Meeting,Service Issue,Interaction logged
I300311,C00792,2025-03-04,Meeting,Billing Question,Interaction logged
I300312,C08928,2024-10-03,Call,Billing Question,Interaction logged
I300313,C03280,2024-03-12,Email,PO Approval,Interaction logged
I300314,C02906,2024-08-13,Meeting,Late Payment,Interaction logged
I300315,C00034,2024-11-04,Meeting,PO Approval,Interaction logged
I300316,C03053,2024-12-09,Call,PO Approval,Interaction logged
I300317,C08980,2024-10-16,Call,Billing Question,Interaction logged
I300318,C03740,2024-02-20,Meeting,PO Approval,Interaction logged
I300319,C05461,2024-05-28,Meeting,Service Issue,Interaction logged
I300320,C01773,2024-03-18,Meeting,Late Payment,Interaction logged
I300321,C04569,2024-09-28,Email,Late Payment,Interaction logged
I300322,C00264,2025-01-05,Call,PO Approval,Interaction logged
I300323,C05242,2025-02-04,Call,Late Payment,Interaction logged
I300324,C08081,2024-04-01,Call,Billing Question,Interaction logged
I300325,C02161,2024-09-09,Call,Late Payment,Interaction logged
I300326,C08221,2024-11-22,Call,Service Issue,Interaction logged
I300327,C07129,2024-09-15,Meeting,Late Payment,Interaction logged
I300328,C06988,2024-06-07,Call,Late Payment,Interaction logged
I300329,C04762,2024-06-04,Meeting,Late Payment,Interaction logged
I300330,C03884,2025-01-18,Call,PO Approval,Interaction logged
I300331,C07884,2024-12-03,Meeting,PO Approval,Interaction logged
I300332,C06824,2024-12-08,Email,PO Approval,Interaction logged
I300333,C01117,2024-08-27,Meeting,Billing Question,Interaction logged
I300334,C07320,2024-03-25,Email,Late Payment,Interaction logged
I300335,C06702,2024-04-01,Call,Billing Question,Interaction logged
I300336,C08004,2024-03-20,Meeting,Billing Question,Interaction logged
I300337,C06469,2024-08-27,Call,Service Issue,Interaction logged
I300338,C01057,2024-05-18,Meeting,PO Approval,Interaction logged
I300339,C01695,2024-05-03,Email,Billing Question,Interaction logged
I300340,C00761,2024-08-18,Call,Service Issue,Interaction logged
I300341,C04868,2024-06-05,Meeting,PO Approval,Interaction logged
I300342,C04539,2024-09-30,Call,PO Approval,Interaction logged
I300343,C02307,2025-02-10,Meeting,Late Payment,Interaction logged
I300344,C05463,2024-09-18,Meeting,Billing Question,Interaction logged
I300345,C04798,2024-07-21,Meeting,Late Payment,Interaction logged
I300346,C04301,2025-03-06,Meeting,Late Payment,Interaction logged
I300347,C02752,2025-02-10,Meeting,Late Payment,Interaction logged
I300348,C06997,2024-12-20,Meeting,PO Approval,Interaction logged
I300349,C02858,2024-03-14,Email,PO Approval,Interaction logged
I300350,C09027,2024-10-24,Meeting,Service Issue,Interaction logged
I300351,C09571,2024-06-28,Meeting,Late Payment,Interaction logged
I300352,C05780,2025-01-28,Email,PO Approval,Interaction logged
I300353,C06510,2024-04-18,Email,Service Issue,Interaction logged
I300354,C01622,2024-05-29,Email,Billing Question,Interaction logged
I300355,C05865,2024-06-16,Meeting,PO Approval,Interaction logged
I300356,C03110,2024-04-01,Meeting,Late Payment,Interaction logged
I300357,C01757,2024-05-21,Email,Billing Question,Interaction logged
I300358,C01021,2025-03-11,Email,Billing Question,Interaction logged
I300359,C00502,2024-05-08,Call,PO Approval,Interaction logged
I300360,C04731,2025-01-25,Email,Service Issue,Interaction logged
I300361,C01551,2024-11-06,Call,Late Payment,Interaction logged
I300362,C06210,2024-04-26,Call,Service Issue,Interaction logged
I300363,C03679,2025-01-16,Call,Late Payment,Interaction logged
I300364,C09863,2024-12-14,Email,PO Approval,Interaction logged
I300365,C00873,2024-10-02,Call,Late Payment,Interaction logged
I300366,C09090,2024-09-01,Email,PO Approval,Interaction logged
I300367,C08765,2024-11-03,Meeting,Service Issue,Interaction logged
I300368,C06270,2025-01-18,Email,Service Issue,Interaction logged
I300369,C06384,2024-08-02,Meeting,Late Payment,Interaction logged
I300370,C07214,2024-09-16,Email,Billing Question,Interaction logged
I300371,C08346,2024-11-14,Meeting,PO Approval,Interaction logged
I300372,C00503,2024-09-27,Meeting,PO Approval,Interaction logged
I300373,C06377,2024-03-20,Meeting,PO Approval,Interaction logged
I300374,C03481,2024-02-20,Meeting,Late Payment,Interaction logged
I300375,C02595,2025-01-19,Meeting,Late Payment,Interaction logged
I300376,C02534,2024-06-28,Email,PO Approval,Interaction logged
I300377,C07994,2024-12-28,Call,Billing Question,Interaction logged
I300378,C08950,2024-10-07,Email,Billing Question,Interaction logged
I300379,C05940,2024-09-16,Meeting,Late Payment,Interaction logged
I300380,C03360,2024-11-28,Call,PO Approval,Interaction logged
I300381,C08597,2024-12-29,Meeting,PO Approval,Interaction logged
I300382,C01516,2025-03-24,Meeting,PO Approval,Interaction logged
I300383,C01673,2024-03-29,Meeting,Late Payment,Interaction logged
I300384,C07624,2024-05-06,Meeting,Late Payment,Interaction logged
I300385,C07927,2024-08-28,Email,Service Issue,Interaction logged
I300386,C01844,2024-04-09,Email,Service Issue,Interaction logged
I300387,C07415,2024-05-08,Meeting,PO Approval,Interaction logged
I300388,C05169,2024-07-24,Meeting,Service Issue,Interaction logged
I300389,C06220,2025-01-08,Call,PO Approval,Interaction logged
I300390,C07100,2024-10-22,Meeting,Service Issue,Interaction logged
I300391,C06324,2024-08-12,Call,Service Issue,Interaction logged
I300392,C09927,2024-02-14,Call,PO Approval,Interaction logged
I300393,C06768,2025-01-28,Call,Late Payment,Interaction logged
I300394,C01434,2024-02-26,Email,Billing Question,Interaction logged
I300395,C05968,2025-03-15,Email,Service Issue,Interaction logged
I300396,C03307,2025-03-07,Email,PO Approval,Interaction logged
I300397,C06922,2025-02-14,Meeting,Service Issue,Interaction logged
I300398,C06867,2024-09-15,Meeting,PO Approval,Interaction logged
I300399,C07165,2024-02-06,Meeting,Billing Question,Interaction logged
I300400,C00483,2024-05-10,Meeting,Service Issue,Interaction logged
I300401,C06299,2024-08-24,Call,Billing Question,Interaction logged
I300402,C08525,2025-03-23,Meeting,Service Issue,Interaction logged
I300403,C02914,2024-10-27,Meeting,PO Approval,Interaction logged
I300404,C02706,2025-02-22,Meeting,PO Approval,Interaction logged
I300405,C07581,2024-09-21,Email,Billing Question,Interaction logged
I300406,C09747,2025-03-24,Call,Billing Question,Interaction logged
I300407,C08858,2024-11-08,Call,PO Approval,Interaction logged
I300408,C02664,2024-02-14,Email,Billing Question,Interaction logged
I300409,C07406,2024-11-19,Email,Service Issue,Interaction logged
I300410,C00830,2024-06-04,Meeting,Billing Question,Interaction logged
I300411,C05972,2024-07-31,Email,Late Payment,Interaction logged
I300412,C01843,2024-12-27,Call,Late Payment,Interaction logged
I300413,C04813,2024-07-30,Email,Billing Question,Interaction logged
I300414,C03737,2024-07-09,Email,Service Issue,Interaction logged
I300415,C07159,2025-02-14,Call,Billing Question,Interaction logged
I300416,C06671,2025-03-15,Email,Service Issue,Interaction logged
I300417,C00102,2024-06-13,Meeting,PO Approval,Interaction logged
I300418,C00507,2025-01-25,Meeting,PO Approval,Interaction logged
I300419,C02927,2024-03-23,Meeting,Billing Question,Interaction logged
I300420,C09638,2024-09-26,Call,Late Payment,Interaction logged
I300421,C01380,2024-08-07,Meeting,Service Issue,Interaction logged
I300422,C04728,2024-12-02,Call,Late Payment,Interaction logged
I300423,C09617,2024-10-06,Meeting,Late Payment,Interaction logged
I300424,C06615,2024-02-01,Call,Billing Question,Interaction logged
I300425,C08426,2025-03-11,Call,PO Approval,Interaction logged
I300426,C07378,2025-03-13,Call,Late Payment,Interaction logged
I300427,C03920,2025-03-23,Email,Billing Question,Interaction logged
I300428,C05842,2024-10-01,Meeting,PO Approval,Interaction logged
I300429,C04880,2024-08-30,Call,Billing Question,Interaction logged
I300430,C09261,2024-05-07,Email,PO Approval,Interaction logged
I300431,C09781,2024-03-04,Call,Service Issue,Interaction logged
I300432,C07530,2024-07-31,Email,Billing Question,Interaction logged
I300433,C07953,2025-01-25,Email,Service Issue,Interaction logged
I300434,C08159,2024-08-06,Meeting,PO Approval,Interaction logged
I300435,C05337,2025-01-03,Call,PO Approval,Interaction logged
I300436,C02042,2024-06-18,Meeting,PO Approval,Interaction logged
I300437,C09749,2024-04-02,Call,Billing Question,Interaction logged
